model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
ar,absolute,expanding window,pcpi_pch,0.501688584275015,0.345196089825592,0.0284099731364885,0.128082521312934,0.03125,,,0.583333333333333,0.779166666666667
ar,absolute,leave-one-out,ngdp_rpch,0.79678553666246,0.364155748627889,0.00911598887467344,0.423513799159898,-0.0541666666666667,,,0.454166666666667,0.7375
ar,absolute,leave-one-out,pcpi_pch,0.491257568775923,0.352247753934203,0.0209526341909363,0.118057180650784,0.0520833333333333,,,0.579166666666667,0.825
ar,absolute,rolling window,ngdp_rpch,0.814444349207021,0.331748316152536,0.0113359099430257,0.47136012311146,-0.1,,,0.4125,0.6875
ar,absolute,rolling window,pcpi_pch,0.49939896947524,0.334834581798939,0.0312747108966236,0.133289676779677,0.0229166666666666,,,0.575,0.770833333333333
ar,directional,expanding window,ngdp_rpch,0.625601337846869,0.22909888365239,0.0785392137685622,0.317963240425916,-0.102083333333333,,,0.4125,0.683333333333333
ar,directional,expanding window,pcpi_pch,0.403028475177326,0.139823504705934,0.160338071306487,0.102866899164905,-0.158333333333333,,,0.345833333333333,0.6375
ar,directional,leave-one-out,ngdp_rpch,0.599055538833907,0.245255373216888,0.0742407363068044,0.279559429310214,-0.0583333333333334,,,0.4375,0.745833333333333
ar,directional,leave-one-out,pcpi_pch,0.368184642792634,0.197720656071496,0.07924477113782,0.0912192155833177,0.0229166666666666,,,0.529166666666667,0.816666666666667
ar,directional,rolling window,ngdp_rpch,0.648211760724163,0.20714117126956,0.0784347403142459,0.362635849140357,-0.129166666666667,,,0.4125,0.629166666666667
ar,directional,rolling window,pcpi_pch,0.402949296707028,0.131145991213844,0.169142005204903,0.102661300288281,-0.175,,,0.354166666666667,0.595833333333333
bvar,absolute,expanding window,ngdp_rpch,0.734486996813748,0.29258370140741,0.0193929073538139,0.422510388052524,-0.0604166666666667,,,0.454166666666667,0.725
bvar,absolute,expanding window,pcpi_pch,0.424402579862025,0.278992926901639,0.0547789090477233,0.0906307439126624,0.01875,,,0.570833333333333,0.766666666666667
bvar,absolute,leave-one-out,ngdp_rpch,0.725574727784222,0.31221621304845,0.0188787862656476,0.394479728470125,-0.05,,,0.45,0.75
bvar,absolute,leave-one-out,pcpi_pch,0.412508414910337,0.280497072340314,0.0424312282431136,0.0895801143269101,0.0604166666666666,,,0.604166666666667,0.816666666666667
bvar,absolute,rolling window,ngdp_rpch,0.742658031669603,0.274212917865286,0.022339800941383,0.446105312862935,-0.0958333333333334,,,0.4,0.708333333333333
bvar,absolute,rolling window,pcpi_pch,0.418632592627141,0.259883092319984,0.0596368849755658,0.0991126153315914,-0.00416666666666669,,,0.545833333333333,0.745833333333333
bvar,directional,expanding window,ngdp_rpch,0.625225126620427,0.239201693746491,0.0972834742757466,0.288739958598189,-0.0916666666666667,,,0.429166666666667,0.6875
bvar,directional,expanding window,pcpi_pch,0.431759637428576,0.145798387810112,0.207875625325986,0.0780856242924792,-0.197916666666667,,,0.3,0.604166666666667
bvar,directional,leave-one-out,ngdp_rpch,0.608151892157745,0.260622876119569,0.0887405745257053,0.25878844151247,-0.0625,,,0.441666666666667,0.733333333333333
bvar,directional,leave-one-out,pcpi_pch,0.378464592076191,0.209811015125142,0.094741056095586,0.0739125208554632,0.0104166666666666,,,0.516666666666667,0.804166666666667
bvar,directional,rolling window,ngdp_rpch,0.647317052620932,0.212689185962319,0.0975122980415596,0.337115568617053,-0.116666666666667,,,0.4125,0.654166666666667
bvar,directional,rolling window,pcpi_pch,0.420822969088674,0.131955914849296,0.205052198501813,0.0838148557375653,-0.20625,,,0.295833333333333,0.591666666666667
