model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
ar,directional,leave-one-out,pcpi_pch,0.351859065182974,0.196172658961658,0.0571480403356573,0.0985383658856581,0.00513392857142855,,,0.520089285714286,0.790178571428571
ar,directional,rolling window,ngdp_rpch,0.735853558256078,0.214313115639197,0.144359464578352,0.377180978038529,-0.194642857142857,,,0.351190476190476,0.55952380952381
ar,directional,rolling window,pcpi_pch,0.38987451113874,0.122793715140399,0.144884589508253,0.122196206490088,-0.206547619047619,,,0.321428571428571,0.565476190476191
bvar,absolute,expanding window,ngdp_rpch,0.767155937313706,0.365813932693436,0.0247566093279318,0.376585395292338,-0.0220238095238095,,,0.505952380952381,0.75
bvar,absolute,expanding window,pcpi_pch,0.454663008168214,0.315365364670281,0.0448071804201409,0.0944904630777916,0.0389880952380952,,,0.589285714285714,0.788690476190476
bvar,absolute,leave-one-out,ngdp_rpch,0.7009561842968,0.355107619996233,0.021525604768466,0.324322959532101,0.000669642857142835,,,0.515625,0.785714285714286
bvar,absolute,leave-one-out,pcpi_pch,0.451576411342563,0.289286071864322,0.0328452273278074,0.129445112150434,0.0252232142857143,,,0.558035714285714,0.792410714285714
bvar,absolute,rolling window,ngdp_rpch,0.807382697146204,0.309134597408487,0.0414707635486422,0.456777336189075,-0.11577380952381,,,0.4375,0.630952380952381
bvar,absolute,rolling window,pcpi_pch,0.444845079639349,0.273740738401883,0.05237528432905,0.118729056908416,-0.0116071428571429,,,0.532738095238095,0.744047619047619
bvar,directional,expanding window,ngdp_rpch,0.682023933119497,0.269282656359676,0.153637221016174,0.259104055743647,-0.102380952380952,,,0.422619047619048,0.672619047619048
bvar,directional,expanding window,pcpi_pch,0.43208121442024,0.161404433068513,0.196124702783392,0.0745520785683351,-0.161904761904762,,,0.339285714285714,0.636904761904762
bvar,directional,leave-one-out,ngdp_rpch,0.613900703068782,0.292118619023677,0.124475247743484,0.19730683630162,-0.0540178571428572,,,0.448660714285714,0.743303571428571
bvar,directional,leave-one-out,pcpi_pch,0.370582165548589,0.211433671502427,0.0759127300742796,0.0832357639718818,0.00290178571428569,,,0.522321428571429,0.783482142857143
bvar,directional,rolling window,ngdp_rpch,0.743677694525136,0.217295789231529,0.166386960660498,0.359994944633109,-0.200595238095238,,,0.336309523809524,0.5625
bvar,directional,rolling window,pcpi_pch,0.424813605432783,0.128776827388809,0.187227834559936,0.108808943484038,-0.224404761904762,,,0.3125,0.538690476190476
