model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,USA,ngdp_rpch,1,0.880064623007412,0.426698913776127,0.0229610141107203,0.430404695120565,2.5451888983251,4.65779484354072,0.227272727272727,0.545454545454545,0.681818181818182,0.681818181818182,0.772727272727273,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.227272727272727,0.272727272727273,0.272727272727273,0.318181818181818,0.5,0.727272727272727,0.863636363636364,0.954545454545455,0.954545454545455,1,1,1,1,1
ar,USA,ngdp_rpch,1.5,1.03311471780201,0.473737127832101,0.0343658489285895,0.525011741041321,2.83357621631802,5.17475831286992,0.181818181818182,0.318181818181818,0.5,0.681818181818182,0.772727272727273,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.227272727272727,0.318181818181818,0.363636363636364,0.409090909090909,0.545454545454545,0.727272727272727,0.727272727272727,0.863636363636364,1,1,1,1,1,1
ar,DEU,pcpi_pch,0,0.171012020772078,0.0382246166825059,0.0772973137993125,0.0554900902902596,0.251330655702374,0.423649901534024,0.0434782608695652,0.0434782608695652,0.130434782608696,0.304347826086957,0.391304347826087,0.478260869565217,0.521739130434783,0.652173913043478,0.652173913043478,0.130434782608696,0.130434782608696,0.260869565217391,0.260869565217391,0.347826086956522,0.347826086956522,0.434782608695652,0.478260869565217,0.478260869565217,0.521739130434783,0.521739130434783,0.565217391304348,0.652173913043478,0.739130434782609,0.739130434782609,0.782608695652174,0.782608695652174,0.782608695652174
ar,DEU,pcpi_pch,0.5,0.368511122946871,0.166624954028968,0.0330387926790016,0.168847376238901,0.998610825421715,1.814515146972,0.130434782608696,0.260869565217391,0.391304347826087,0.478260869565217,0.521739130434783,0.608695652173913,0.695652173913044,0.782608695652174,0.956521739130435,0,0.173913043478261,0.260869565217391,0.347826086956522,0.434782608695652,0.478260869565217,0.565217391304348,0.652173913043478,0.739130434782609,0.869565217391304,0.91304347826087,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435
ar,DEU,pcpi_pch,1,0.700928519609726,0.316196742141879,0.0663649617620606,0.318366815705787,1.88957845250762,3.44477313032702,0.0909090909090909,0.181818181818182,0.272727272727273,0.454545454545455,0.5,0.590909090909091,0.772727272727273,0.863636363636364,0.909090909090909,0.0909090909090909,0.136363636363636,0.136363636363636,0.318181818181818,0.409090909090909,0.454545454545455,0.636363636363636,0.681818181818182,0.727272727272727,0.818181818181818,0.863636363636364,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,1,1
ar,DEU,pcpi_pch,1.5,0.893550709176875,0.36126081958021,0.0462517192480676,0.486038170348597,2.17779987564249,3.93493406916999,0.0454545454545455,0.0909090909090909,0.136363636363636,0.227272727272727,0.363636363636364,0.590909090909091,0.636363636363636,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.409090909090909,0.545454545454545,0.636363636363636,0.727272727272727,0.772727272727273,0.818181818181818,0.863636363636364,0.863636363636364,0.863636363636364,0.863636363636364,0.909090909090909,1,1,1,1
ar,FRA,pcpi_pch,0,0.0973509558933231,0.0528232744944039,0.0443287322711442,0.000198949127775063,0.310309362420187,0.574062181914764,0.0869565217391304,0.347826086956522,0.391304347826087,0.521739130434783,0.608695652173913,0.739130434782609,0.782608695652174,0.91304347826087,1,0,0,0,0,0,0,0,0,0.0434782608695652,0.130434782608696,0.347826086956522,0.391304347826087,0.521739130434783,0.608695652173913,0.739130434782609,0.782608695652174,0.91304347826087,1
ar,FRA,pcpi_pch,0.5,0.290492705888953,0.179898974674745,0.0447167145490274,0.0658770166651802,1.04567748973471,1.9545408842613,0.0869565217391304,0.304347826086957,0.391304347826087,0.608695652173913,0.695652173913044,0.739130434782609,0.91304347826087,1,1,0,0,0.0434782608695652,0.173913043478261,0.173913043478261,0.217391304347826,0.391304347826087,0.434782608695652,0.608695652173913,0.695652173913044,0.739130434782609,0.782608695652174,0.826086956521739,0.869565217391304,0.91304347826087,0.956521739130435,1,1
ar,FRA,pcpi_pch,1,0.557762792067544,0.431967530698024,0.0411364924873591,0.0846587688821611,2.47906028448645,4.69317960788362,0.318181818181818,0.5,0.636363636363636,0.772727272727273,0.909090909090909,0.954545454545455,0.954545454545455,1,1,0,0,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.136363636363636,0.181818181818182,0.272727272727273,0.409090909090909,0.727272727272727,0.772727272727273,0.818181818181818,0.909090909090909,1,1,1,1,1
ar,FRA,pcpi_pch,1.5,1.12149449046868,0.610696588539764,0.00783954130298471,0.502958360625931,3.5688443575569,6.63627656651968,0.0454545454545455,0.181818181818182,0.227272727272727,0.363636363636364,0.545454545454545,0.772727272727273,0.818181818181818,0.954545454545455,1,0,0.0454545454545455,0.181818181818182,0.227272727272727,0.454545454545455,0.636363636363636,0.772727272727273,0.772727272727273,0.863636363636364,0.909090909090909,0.954545454545455,1,1,1,1,1,1,1
