model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
bvar_ciss,pcpi_pch,0.5,0.24511291504229,0.171870344650808,0.0549088602388399,0.0183337101526413,1.26064497413522,1.75064586550775,1.50564541982148,0.55,0.85,0.0333333333333333,0.1,0.65,0.883333333333333
bvar_ciss,pcpi_pch,1,0.576565054522405,0.313305395090998,0.058720824657251,0.204538834774156,2.74597253306024,4.66636975779751,3.70617114542887,0.618181818181818,0.836363636363636,0.0909090909090909,0.163636363636364,0.781818181818182,0.927272727272727
bvar_ciss,pcpi_pch,1.5,0.565984194569664,0.394503808954931,0.0499276894235151,0.121552696191218,2.75748961008179,4.42595986618881,3.5917247381353,0.690909090909091,0.854545454545455,0.0909090909090909,0.218181818181818,0.909090909090909,0.945454545454546
bvar_const,ngdp_rpch,0,0.375151395280477,0.0638205921027001,0.0495175101306738,0.261813293047103,1.72043065910979,3.20195125783505,2.46119095847242,0.226086956521739,0.330434782608696,0.486956521739131,0.539130434782609,0.765217391304348,0.817391304347826
bvar_const,ngdp_rpch,0.5,0.504190151436454,0.2691816295399,0.0125945416562321,0.222413980240322,2.58303474277664,3.62621617178747,3.10462545728205,0.434782608695652,0.747826086956522,0.243478260869565,0.486956521739131,0.921739130434783,0.991304347826087
bvar_const,ngdp_rpch,1,0.911386164536316,0.482828345379588,0.00283613862542318,0.425721680531305,4.51815591316798,6.93233350780636,5.72524471048717,0.590909090909091,0.772727272727273,0.227272727272727,0.4,0.990909090909091,1
bvar_const,ngdp_rpch,1.5,1.07732563745254,0.544513856329337,0.00350018652432591,0.529311594598881,5.27876880456691,8.34959073763359,6.81417977110025,0.581818181818182,0.790909090909091,0.209090909090909,0.409090909090909,0.990909090909091,1
bvar_const,pcpi_pch,0,0.151896760490642,0.0538741314062665,0.0698045116647137,0.0282181174196619,0.72999538499138,1.21294674733439,0.971471066162886,0.443478260869565,0.730434782608696,0.0521739130434783,0.156521739130435,0.6,0.782608695652174
bvar_const,pcpi_pch,0.5,0.362113575744,0.30845622433128,0.0289587233124349,0.0246986281002844,1.76244510175945,2.83615876048136,2.29930193112041,0.765217391304348,0.921739130434783,0.0434782608695652,0.156521739130435,0.921739130434783,0.965217391304348
bvar_const,pcpi_pch,1,0.769829629793509,0.690596454374767,0.00496616410236568,0.0742670113163772,3.60947033279689,6.37291676387797,4.99119354833743,0.818181818181818,0.972727272727273,0.0272727272727273,0.154545454545455,0.972727272727273,1
bvar_const,pcpi_pch,1.5,1.06798877751066,0.920559171645723,0,0.147429605864933,5.23533038993531,8.27144957537486,6.75338998265509,0.654545454545455,0.954545454545455,0.0454545454545455,0.345454545454545,1,1
bvar_qu,ngdp_rpch,0,0.393171411407313,0.0502640220942587,0.0619548169712744,0.28095257234178,1.75438544336602,3.4774646197312,2.61592503154861,0.182608695652174,0.278260869565217,0.495652173913044,0.539130434782609,0.721739130434783,0.773913043478261
bvar_qu,ngdp_rpch,0.5,0.508007550777005,0.21500693712643,0.0198977813830514,0.273102832267524,2.53994220478482,3.81029550357806,3.17511885418144,0.365217391304348,0.634782608695652,0.330434782608696,0.504347826086957,0.869565217391304,0.965217391304348
bvar_qu,ngdp_rpch,1,0.851457647599349,0.389405699526192,0.00586977398099064,0.456182174092167,4.2043209771046,6.51835050922549,5.36133574316505,0.5,0.718181818181818,0.272727272727273,0.463636363636364,0.963636363636364,0.990909090909091
bvar_qu,ngdp_rpch,1.5,1.03675183746234,0.439565834053994,0.00644778944462487,0.590738213963725,4.99950675986339,8.23626984958841,6.6178883047259,0.527272727272727,0.736363636363636,0.263636363636364,0.427272727272727,0.954545454545455,1
bvar_qu,pcpi_pch,0,0.160361182378754,0.0396285426552776,0.0910774124208806,0.0296552273025961,0.748066556503965,1.33705725631518,1.04256190640957,0.365217391304348,0.582608695652174,0.0956521739130435,0.182608695652174,0.547826086956522,0.678260869565217
bvar_qu,pcpi_pch,0.5,0.30472278368611,0.219834183653314,0.0495155991955226,0.0353730008372734,1.52122122204154,2.29140261861836,1.90631192032995,0.634782608695652,0.895652173913044,0.0695652173913044,0.217391304347826,0.852173913043478,0.965217391304348
bvar_qu,pcpi_pch,1,0.574815405198037,0.482440800971058,0.0125838109758433,0.0797907932511354,2.75056249149561,4.61990187522172,3.68523218335866,0.718181818181818,0.963636363636364,0.0363636363636364,0.209090909090909,0.927272727272727,1
bvar_qu,pcpi_pch,1.5,0.82399870959039,0.634433703374031,0.000688352981262865,0.188876653235096,4.16404691523569,6.06985690371857,5.11695190947713,0.590909090909091,0.927272727272727,0.0727272727272727,0.390909090909091,0.981818181818182,1
