model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,absolute,rolling window,ngdp_rpch,1,1.3351703522749,0.473044886009609,0.167137508410792,0.694987957854496,6.10098965253036,11.450932914172,8.7759612833512,0.527272727272727,0.781818181818182,0.163636363636364,0.381818181818182,0.909090909090909,0.945454545454546
ar,absolute,rolling window,ngdp_rpch,1.5,1.61436477902762,0.556771688053716,0.349876084975879,0.707717005998022,7.41345818838204,13.7536501095972,10.5835541489896,0.545454545454545,0.763636363636364,0.145454545454545,0.327272727272727,0.872727272727273,0.909090909090909
ar,absolute,rolling window,pcpi_pch,0,0.0818982986711579,0.043651383062498,0.0125842415046938,0.0256626741039661,0.421281664175372,0.58476181298473,0.503021738580051,0.381818181818182,0.654545454545455,0.272727272727273,0.545454545454545,0.927272727272727,0.927272727272727
ar,absolute,rolling window,pcpi_pch,0.5,0.327970695878107,0.158391432981749,0.12641439485469,0.0431648680416682,1.64127982656009,2.45621435116192,2.048747088861,0.454545454545455,0.636363636363636,0.163636363636364,0.290909090909091,0.745454545454546,0.8
ar,absolute,rolling window,pcpi_pch,1,0.845767101651349,0.438859914419407,0.173177590043541,0.233729597188401,4.35294376813874,6.03298261268012,5.19296319040943,0.345454545454545,0.581818181818182,0.309090909090909,0.527272727272727,0.872727272727273,0.890909090909091
ar,absolute,rolling window,pcpi_pch,1.5,1.07236813176909,0.670265273110077,0.139565674171039,0.262537184487971,5.71547762840208,7.15866856437654,6.43707309638931,0.381818181818182,0.636363636363636,0.254545454545455,0.509090909090909,0.890909090909091,0.890909090909091
ar_bic,absolute,rolling window,ngdp_rpch,0,0.125255503524984,0.0417185552162692,0.0606151170808449,0.0229218312278701,0.58207200669607,1.04993005375951,0.81600103022779,0.527272727272727,0.727272727272727,0.181818181818182,0.309090909090909,0.836363636363636,0.909090909090909
ar_bic,absolute,rolling window,ngdp_rpch,0.5,0.618078239894521,0.189918487648536,0.166549122094236,0.261610630151749,2.84581014969109,5.2470394236627,4.04642478667689,0.472727272727273,0.709090909090909,0.181818181818182,0.381818181818182,0.854545454545455,0.890909090909091
ar_bic,absolute,rolling window,ngdp_rpch,1,1.29585775247491,0.443823422298545,0.177307387992595,0.674726942183767,5.86682069705193,11.2501033068683,8.55846200196012,0.563636363636364,0.781818181818182,0.145454545454545,0.345454545454545,0.909090909090909,0.927272727272727
ar_bic,absolute,rolling window,ngdp_rpch,1.5,1.6795794415614,0.531719827965911,0.464887890450494,0.682971723144996,7.59034190660877,14.6157340647061,11.1030379856574,0.545454545454545,0.763636363636364,0.145454545454545,0.327272727272727,0.872727272727273,0.909090909090909
ar_bic,absolute,rolling window,pcpi_pch,0,0.0766766459017604,0.0332462359799528,0.0158318997510208,0.0275985101707868,0.381725761987406,0.579218513066694,0.48047213752705,0.345454545454545,0.672727272727273,0.236363636363636,0.509090909090909,0.854545454545455,0.909090909090909
ar_bic,absolute,rolling window,pcpi_pch,0.5,0.375707381545194,0.114835867572788,0.168513233984889,0.0923582799875169,1.80059949584268,3.01264889129718,2.40662419356993,0.290909090909091,0.527272727272727,0.181818181818182,0.272727272727273,0.563636363636364,0.709090909090909
