source,target,country,horizon,ae,sque
ar,pcpi_pch,ITA,0.5,0.497698492868659,0.306888864063992
ar,pcpi_pch,JPN,0.5,0.475524682281271,0.374603466857334
ar,pcpi_pch,USA,0.5,0.514801890560281,0.370832290991097
ar,ngdp_rpch,CAN,1,1.50453980351785,5.410516335533
ar,ngdp_rpch,DEU,1,1.72259972039646,5.87764457430768
ar,ngdp_rpch,FRA,1,1.85744735262455,6.99016998589619
ar,ngdp_rpch,GBR,1,1.67730233359875,10.3551070011838
ar,ngdp_rpch,ITA,1,2.1931528173761,9.44718936455106
ar,ngdp_rpch,JPN,1,2.8169603598578,11.2648966016061
ar,ngdp_rpch,USA,1,1.07706427294319,3.07690409761808
ar,pcpi_pch,CAN,1,1.02928526919022,1.90271356897173
ar,pcpi_pch,DEU,1,1.32209240790637,2.4514300670786
ar,pcpi_pch,FRA,1,0.661866751840381,0.769830414054716
ar,pcpi_pch,GBR,1,1.69739652969985,3.59019442962953
ar,pcpi_pch,ITA,1,1.59311203206115,3.55970631994256
ar,pcpi_pch,JPN,1,2.0103749921755,5.13909514073108
ar,pcpi_pch,USA,1,1.14164929499575,2.3161570093026
ar,ngdp_rpch,CAN,1.5,1.69764407032005,6.12500079206005
ar,ngdp_rpch,DEU,1.5,1.99687033817803,7.43184864474162
ar,ngdp_rpch,FRA,1.5,2.12139383824822,8.59061051336997
ar,ngdp_rpch,GBR,1.5,1.84474693014313,11.5097508617832
ar,ngdp_rpch,ITA,1.5,3.01946138805791,16.5141044006865
ar,ngdp_rpch,JPN,1.5,3.83434699877176,18.4594879458194
ar,ngdp_rpch,USA,1.5,1.38580919044281,4.1057382860151
ar,pcpi_pch,CAN,1.5,1.72127898962281,3.55538089773435
ar,pcpi_pch,DEU,1.5,1.48516855330412,2.87184842142082
ar,pcpi_pch,FRA,1.5,1.31437139076928,2.50604105766158
ar,pcpi_pch,GBR,1.5,2.50009940122985,6.89620062690734
ar,pcpi_pch,ITA,1.5,2.52872937170244,7.53405617326994
ar,pcpi_pch,JPN,1.5,2.68655246647419,8.2990129394265
ar,pcpi_pch,USA,1.5,1.49483625012926,3.62554224823032
bvar,ngdp_rpch,CAN,0,0.111788257784164,0.0296983581100135
bvar,ngdp_rpch,DEU,0,0.131507173146601,0.0298824499950069
bvar,ngdp_rpch,FRA,0,0.174791036321162,0.135479488905436
bvar,ngdp_rpch,GBR,0,0.130939461085993,0.0646657357509077
bvar,ngdp_rpch,ITA,0,0.198355022745463,0.167607807674904
bvar,ngdp_rpch,JPN,0,0.207102312763073,0.0840230044110222
bvar,ngdp_rpch,USA,0,0.127144677276187,0.0368295253126584
bvar,pcpi_pch,CAN,0,0.142049479423808,0.0377525211575496
bvar,pcpi_pch,DEU,0,0.139831157434857,0.0245563147125813
bvar,pcpi_pch,FRA,0,0.0740977157436387,0.00865235266249885
bvar,pcpi_pch,GBR,0,0.0825559749381921,0.0136140629596161
bvar,pcpi_pch,ITA,0,0.136880733872667,0.0343535352107016
bvar,pcpi_pch,JPN,0,0.105563356229518,0.0193677741768793
