model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,GBR,ngdp_rpch,1,0.965265042366585,0.394415307671224,0.0261756151288922,0.544674119566468,2.38849063160804,4.31334943363294,3.35092003262049,0.681818181818182,0.863636363636364,0.136363636363636,0.272727272727273,0.954545454545455,1
ar,GBR,ngdp_rpch,1.5,1.12760275716071,0.419349927596136,0.0283385875239629,0.67991424204061,2.5623023259214,4.59616858516971,3.57923545554555,0.681818181818182,0.863636363636364,0.136363636363636,0.272727272727273,0.954545454545455,1
ar,ITA,ngdp_rpch,0,0.266416883345395,0.0617750048783447,0.0228467685287139,0.181795109938336,0.404283127255722,0.684411240770093,0.544347184012908,0.434782608695652,0.652173913043478,0.304347826086957,0.434782608695652,0.869565217391304,0.956521739130435
ar,ITA,ngdp_rpch,0.5,0.64836923935775,0.262291387880708,0.0030674312926989,0.383010420184343,1.58271072886035,2.86221815183515,2.22246444034775,0.478260869565217,0.782608695652174,0.217391304347826,0.521739130434783,1,1
ar,ITA,ngdp_rpch,1,1.33634023595491,0.475678024611304,0,0.860662211343601,2.91419816254617,5.19419606821389,4.05419711538003,0.363636363636364,0.818181818181818,0.181818181818182,0.636363636363636,1,1
ar,ITA,ngdp_rpch,1.5,1.76468934037276,0.526437217601793,0,1.23825212277096,3.30500732630643,5.76834386411958,4.53667559521301,0.227272727272727,0.636363636363636,0.363636363636364,0.772727272727273,1,1
ar,USA,ngdp_rpch,0,0.376383736234885,0.0552879299271788,0.0840782792498159,0.23701752705789,0.399144601709458,0.622471754125891,0.510808177917674,0.130434782608696,0.260869565217391,0.434782608695652,0.478260869565217,0.608695652173913,0.695652173913044
ar,USA,ngdp_rpch,0.5,0.436112239112636,0.235270307133214,0.0386284445238201,0.162213487455602,1.38217902079296,2.56004097877016,1.97110999978156,0.695652173913044,0.91304347826087,0.0869565217391304,0.260869565217391,0.956521739130435,1
ar,USA,ngdp_rpch,1,0.880064623007412,0.426698913776127,0.0229610141107203,0.430404695120565,2.5451888983251,4.65779484354072,3.60149187093291,0.772727272727273,0.818181818181818,0.181818181818182,0.227272727272727,1,1
ar,USA,ngdp_rpch,1.5,1.03311471780201,0.473737127832101,0.0343658489285895,0.525011741041321,2.83357621631802,5.17475831286992,4.00416726459397,0.772727272727273,0.818181818181818,0.181818181818182,0.227272727272727,1,1
ar,DEU,pcpi_pch,0,0.171012020772078,0.0382246166825059,0.0772973137993125,0.0554900902902596,0.251330655702374,0.423649901534024,0.337490278618199,0.391304347826087,0.652173913043478,0.130434782608696,0.347826086956522,0.739130434782609,0.782608695652174
ar,DEU,pcpi_pch,0.5,0.368511122946871,0.166624954028968,0.0330387926790016,0.168847376238901,0.998610825421715,1.814515146972,1.40656298619686,0.521739130434783,0.782608695652174,0.173913043478261,0.434782608695652,0.956521739130435,0.956521739130435
ar,DEU,pcpi_pch,1,0.700928519609726,0.316196742141879,0.0663649617620606,0.318366815705787,1.88957845250762,3.44477313032702,2.66717579141732,0.5,0.863636363636364,0.136363636363636,0.409090909090909,0.909090909090909,1
ar,DEU,pcpi_pch,1.5,0.893550709176875,0.36126081958021,0.0462517192480676,0.486038170348597,2.17779987564249,3.93493406916999,3.05636697240624,0.363636363636364,0.818181818181818,0.181818181818182,0.545454545454545,0.909090909090909,1
ar,FRA,pcpi_pch,0,0.0973509558933231,0.0528232744944039,0.0443287322711442,0.000198949127775063,0.310309362420187,0.574062181914764,0.442185772167476,0.608695652173913,0.91304347826087,0,0,0.608695652173913,0.91304347826087
ar,FRA,pcpi_pch,0.5,0.290492705888953,0.179898974674745,0.0447167145490274,0.0658770166651802,1.04567748973471,1.9545408842613,1.50010918699801,0.695652173913044,1,0,0.173913043478261,0.869565217391304,1
ar,FRA,pcpi_pch,1,0.557762792067544,0.431967530698024,0.0411364924873591,0.0846587688821611,2.47906028448645,4.69317960788362,3.58611994618504,0.909090909090909,1,0,0.0909090909090909,1,1
ar,FRA,pcpi_pch,1.5,1.12149449046868,0.610696588539764,0.00783954130298471,0.502958360625931,3.5688443575569,6.63627656651968,5.10256046203829,0.545454545454545,0.954545454545455,0.0454545454545455,0.454545454545455,1,1
ar,GBR,pcpi_pch,0,0.36302320988112,0.0851977442128902,0.227342349917576,0.0504831157506534,0.557525215360175,0.943558576892383,0.750541896126279,0.478260869565217,0.565217391304348,0.0434782608695652,0.0434782608695652,0.521739130434783,0.608695652173913
ar,GBR,pcpi_pch,0.5,0.50767106915241,0.367418593076793,0.12688973706411,0.0133627390115067,2.12836525678922,3.99851411670115,3.06343968674518,0.956521739130435,0.956521739130435,0,0,0.956521739130435,0.956521739130435
ar,GBR,pcpi_pch,1,1.08935249824645,0.756300490184093,0.0044738042202894,0.328578203842068,4.33852437731458,8.21694638073549,6.27773537902503,0.863636363636364,1,0,0.136363636363636,1,1
