source,target,country,forecast_year,horizon,target_year,prediction,tv_oecd
IMF,pcpi_pch,CAN,1998,0,1998,1.32960503394646,0.991032689984017
IMF,pcpi_pch,DEU,1998,0,1998,0.988824245464714,0.908139555297869
IMF,pcpi_pch,FRA,1998,0,1998,1.13939417694189,0.649153710212502
IMF,pcpi_pch,GBR,1998,0,1998,2.76747191827764,1.80479388670685
IMF,pcpi_pch,ITA,1998,0,1998,1.76000731455004,1.93665673951697
IMF,pcpi_pch,JPN,1998,0,1998,0.381100084783292,0.649883871485035
IMF,pcpi_pch,USA,1998,0,1998,1.64292673911122,1.54020869536857
IMF,ngdp_rpch,CAN,1999,0,1999,3.55787950200284,5.04313012275
IMF,ngdp_rpch,DEU,1999,0,1999,1.42380776893287,1.7426469725
IMF,ngdp_rpch,FRA,1999,0,1999,2.47201413485307,3.23655148425
IMF,ngdp_rpch,GBR,1999,0,1999,1.14174636848019,3.02688553925
IMF,ngdp_rpch,ITA,1999,0,1999,1.2297256933359,1.553573004
IMF,ngdp_rpch,JPN,1999,0,1999,1.04455956273983,-0.2326997165
IMF,ngdp_rpch,USA,1999,0,1999,3.70558825965392,4.7063888415
IMF,pcpi_pch,CAN,1999,0,1999,1.50828275233879,1.71690142622765
IMF,pcpi_pch,DEU,1999,0,1999,0.400001464604904,0.583153343487641
IMF,pcpi_pch,FRA,1999,0,1999,0.471140137203285,0.535326029342942
IMF,pcpi_pch,GBR,1999,0,1999,2.31197475660128,1.73876762891096
IMF,pcpi_pch,ITA,1999,0,1999,1.48000000000017,1.64853014404791
IMF,pcpi_pch,JPN,1999,0,1999,-0.399829651326677,-0.347387471091604
IMF,pcpi_pch,USA,1999,0,1999,2.16862396250002,2.16224157504852
IMF,ngdp_rpch,CAN,2000,0,2000,4.65537350281293,5.051026336
IMF,ngdp_rpch,DEU,2000,0,2000,2.94192414779801,3.11122946025
IMF,ngdp_rpch,FRA,2000,0,2000,3.51809971869983,4.0827293205
IMF,ngdp_rpch,GBR,2000,0,2000,3.05215768590135,4.260063585
IMF,ngdp_rpch,ITA,2000,0,2000,3.10184373572799,4.0579645915
IMF,ngdp_rpch,JPN,2000,0,2000,1.44414238451207,2.6980106825
IMF,ngdp_rpch,USA,2000,0,2000,5.19510621915427,4.03111291425
IMF,pcpi_pch,CAN,2000,0,2000,2.29889507469385,2.68186030794346
IMF,pcpi_pch,DEU,2000,0,2000,1.73183015915472,1.42969361891803
IMF,pcpi_pch,FRA,2000,0,2000,1.54517024230636,1.66137125283827
IMF,pcpi_pch,GBR,2000,0,2000,1.99311898930781,1.19846327983717
IMF,pcpi_pch,ITA,2000,0,2000,2.45000000000037,2.50520786181874
IMF,pcpi_pch,JPN,2000,0,2000,-0.209736848544284,-0.691393366911441
IMF,pcpi_pch,USA,2000,0,2000,3.20383185044202,3.32037913828367
