model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,FRA,ngdp_rpch,1.5,3.46802096951421,0.579503788308135,0.589333797821216,2.29918338338486,15.1544420133238,31.4743143569747,23.3143781851492,0.5,0.5,0.25,0.25,0.75,0.75
ar,GBR,ngdp_rpch,0,0.660333425265327,0.143509712270472,0.0439713062594675,0.472852406735388,3.08856014892866,5.48526813298488,4.28691414095677,0.25,0.5,0.25,0.5,0.75,0.75
ar,GBR,ngdp_rpch,0.5,2.64298806036272,0.409714115966013,0.39248215313663,1.84079179126008,11.6048408988313,23.8476589601761,17.7262499295037,0.25,0.5,0.25,0.5,0.75,0.75
ar,GBR,ngdp_rpch,1,4.06616233625472,0.638765293555579,0.750267815700485,2.67712922699865,17.7601396571243,36.9228975822836,27.3415186197039,0.25,0.5,0.25,0.5,0.75,0.75
ar,GBR,ngdp_rpch,1.5,4.19747409747702,0.629022565328959,0.88005854447797,2.68839298767009,18.3987396429747,37.9526328421037,28.1756862425392,0,0.5,0.25,0.5,0.5,0.75
ar,ITA,ngdp_rpch,0,0.720838332111598,0.118549020563202,0,0.602289311548396,3.3896472263499,5.9426485763572,4.66614790135355,0,0.25,0.75,1,1,1
ar,ITA,ngdp_rpch,0.5,0.449365403622557,0.425077077848141,0,0.0242883257744156,2.1264614436788,3.67115446325415,2.89880795346647,0.75,1,0,0.25,1,1
ar,ITA,ngdp_rpch,1,2.86294322544117,0.72407008462414,0,2.13887314081703,12.4780216299319,26.0638104339937,19.2709160319628,0.75,0.75,0.25,0.25,1,1
ar,ITA,ngdp_rpch,1.5,3.98085548393869,0.775246615382849,1.01984312264241,2.18576574591343,17.8866804716744,34.9004084995878,26.3935444856311,0.5,0.5,0.25,0.25,0.75,0.75
ar,JPN,ngdp_rpch,0,0.425388264903441,0.107767322579585,0,0.317620942323856,2.20121023726632,3.00473970490301,2.60297497108467,0,0,1,1,1,1
ar,JPN,ngdp_rpch,0.5,3.41801239138558,0.422159450735911,0,2.99585294064967,15.6293683021036,29.2868270724527,22.4580976872781,0,0,1,1,1,1
