model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar_bic,pcpi_pch,0.5,0.772671591597528,0.211289734952304,0.466116300554936,0.0952655560902877,3.70065416982849,6.20179640737936,4.95122528860392,0.28,0.44,0.16,0.28,0.56,0.6
ar_bic,pcpi_pch,1,1.42214818254015,0.439426482270863,0.845417433712463,0.13730426655682,6.928063262651,11.1228054941754,9.0254343784132,0.28,0.52,0.12,0.28,0.56,0.64
ar_bic,pcpi_pch,1.5,1.62052831698345,0.581762987756111,0.996056491220363,0.0427088380069766,7.74332720691135,13.0522483223906,10.397787764651,0.36,0.64,0,0.2,0.56,0.64
arx_annual,ngdp_rpch,0,0.54696708227125,0.127097150037122,0.382323968943739,0.037545963290389,2.57653018627231,4.49801617974421,3.53727318300826,0.28,0.56,0.08,0.08,0.36,0.64
arx_annual,ngdp_rpch,0.5,0.771688979181137,0.210598783788843,0.34258502751441,0.218505167877884,3.64925757499588,6.31063564613303,4.97994661056446,0.36,0.56,0.16,0.2,0.56,0.72
arx_annual,ngdp_rpch,1,2.98309922078974,0.44446286637417,0.235501529276308,2.30313482513927,13.405364667608,26.1485727467749,19.7769687071915,0.16,0.36,0.52,0.6,0.76,0.88
arx_annual,ngdp_rpch,1.5,2.75939330297296,0.482156294905485,0.262829295961806,2.01440771210567,12.4176620811317,24.1437108566299,18.2806864688808,0.36,0.4,0.44,0.44,0.8,0.84
arx_annual,pcpi_pch,0,0.161007093893147,0.0641817949789861,0.0688832938850106,0.0279420050291502,0.838181076044677,1.12468918775124,0.981435131897961,0.36,0.44,0.2,0.2,0.56,0.64
arx_annual,pcpi_pch,0.5,0.837651693074414,0.137882181922784,0.667135491611007,0.0326340195406228,3.81324790068289,7.21991410978105,5.51658100523197,0.24,0.44,0.04,0.12,0.36,0.48
arx_annual,pcpi_pch,1,1.90005686694571,0.226906214911546,1.54691440022054,0.126236251813622,8.5857907979415,16.5366603440604,12.5612255710009,0.04,0.16,0.24,0.32,0.36,0.4
arx_annual,pcpi_pch,1.5,2.33013101334832,0.240023360781213,1.96111857202945,0.128989080537655,10.3802415855076,20.6520163031974,15.5161289443525,0,0.12,0.24,0.28,0.28,0.36
