model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar_bic,ngdp_rpch,1,1.09588541764541,0.545935450768009,0.00671825076123047,0.543231716116175,5.46834316358389,8.24685044394858,6.85759680376623,0.5,0.773809523809524,0.226190476190476,0.488095238095238,0.988095238095238,1
ar_bic,ngdp_rpch,1.5,1.4227249173088,0.619334451172195,0.0921773852666318,0.711213080869974,7.03462161672843,10.8679443043549,8.95128296054168,0.476190476190476,0.702380952380952,0.285714285714286,0.511904761904762,0.988095238095238,0.988095238095238
ar_bic,pcpi_pch,0,0.119737536664581,0.0644647552358251,0.0360772117280787,0.0191955697006774,0.582926385244609,0.937434770180103,0.760180577712356,0.523809523809524,0.80952380952381,0.0595238095238095,0.154761904761905,0.678571428571429,0.869047619047619
ar_bic,pcpi_pch,0.5,0.276990511503972,0.228948577125281,0.0268378007817258,0.0212041335969648,1.3575509479939,2.14593286009468,1.75174190404429,0.714285714285714,0.916666666666667,0.0238095238095238,0.0952380952380952,0.80952380952381,0.940476190476191
ar_bic,pcpi_pch,1,0.703054246670707,0.484924920942279,0.0216135886238385,0.19651573710459,3.37730326065472,5.61782678177734,4.49756502121603,0.702380952380952,0.892857142857143,0.0833333333333333,0.178571428571429,0.880952380952381,0.976190476190476
ar_bic,pcpi_pch,1.5,0.786179512401865,0.658329011243509,0.0200983504663965,0.107752150691959,3.78805650333726,6.25344898969415,5.0207527465157,0.797619047619048,0.940476190476191,0.0476190476190476,0.154761904761905,0.952380952380952,0.988095238095238
bvar_const,ngdp_rpch,0,0.359535942516504,0.0632727562928911,0.0956312900598309,0.200631896163782,1.67049268421439,3.01448713979411,2.34248991200425,0.19047619047619,0.30952380952381,0.404761904761905,0.452380952380952,0.642857142857143,0.714285714285714
bvar_const,ngdp_rpch,0.5,0.524058186287361,0.277314914512568,0.0421260085754933,0.2046172631993,2.6633874207575,3.82269517385349,3.24304129730549,0.476190476190476,0.75,0.226190476190476,0.428571428571429,0.904761904761905,0.976190476190476
bvar_const,ngdp_rpch,1,1.05959354407124,0.503490953604025,0.00371399105710179,0.552388599410117,5.22140960445857,8.13834687027845,6.67987823736851,0.547619047619048,0.761904761904762,0.238095238095238,0.440476190476191,0.988095238095238,1
bvar_const,ngdp_rpch,1.5,1.26362671138658,0.570106633046435,0.0145735086283174,0.678946569711827,6.22727127969424,9.704356028496,7.96581365409512,0.523809523809524,0.738095238095238,0.261904761904762,0.452380952380952,0.976190476190476,1
bvar_const,pcpi_pch,0,0.119120793815893,0.0540373846323312,0.0411199240484933,0.0239634851350683,0.587372198742756,0.913985379460965,0.750678789101861,0.464285714285714,0.75,0.0595238095238095,0.226190476190476,0.690476190476191,0.80952380952381
bvar_const,pcpi_pch,0.5,0.35497865581863,0.306400680265079,0.0221277976619422,0.0264501778916088,1.73192028915051,2.76977239349631,2.25084634132341,0.797619047619048,0.916666666666667,0.0476190476190476,0.0833333333333333,0.880952380952381,0.964285714285714
bvar_const,pcpi_pch,1,0.808193049054918,0.678351718387707,0.000159681395192203,0.129681649272019,3.85759931467578,6.51986269440891,5.18873100454235,0.761904761904762,0.952380952380952,0.0476190476190476,0.226190476190476,0.988095238095238,1
bvar_const,pcpi_pch,1.5,1.0409807736261,0.899465831932112,0,0.141514941693983,5.11020850642426,8.04409420646125,6.57715135644276,0.726190476190476,0.964285714285714,0.0357142857142857,0.273809523809524,1,1
bvar_qu,ngdp_rpch,0,0.380232992320827,0.051628410787482,0.114943792876189,0.213660788657155,1.72031768744518,3.30386562780359,2.51209165762438,0.142857142857143,0.214285714285714,0.428571428571429,0.464285714285714,0.607142857142857,0.642857142857143
bvar_qu,ngdp_rpch,0.5,0.531363879051943,0.233766152440482,0.0487993334570585,0.248798393154403,2.6426458588671,4.02066293387111,3.33165439636911,0.440476190476191,0.654761904761905,0.297619047619048,0.416666666666667,0.857142857142857,0.952380952380952
