model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,FRA,ngdp_rpch,1.5,1.99702913834229,0.402782862426091,0.244618450749558,1.34962782516664,8.5489814863207,15.1506636095016,10.4909751655058,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.272727272727273,0.454545454545455,0.636363636363636,0.636363636363636,0.636363636363636,0.272727272727273,0.272727272727273,0.272727272727273,0.454545454545455,0.636363636363636,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,0,0.391150542889554,0.0785284583195734,0.0281501529431475,0.284471931626833,1.67817692604864,2.98704455049748,2.0896959860957,0.0909090909090909,0.181818181818182,0.272727272727273,0.363636363636364,0.545454545454545,0.545454545454545,0.636363636363636,0.636363636363636,0.818181818181818,0.181818181818182,0.272727272727273,0.272727272727273,0.363636363636364,0.363636363636364,0.545454545454545,0.636363636363636,0.727272727272727,0.727272727272727,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,1
ar,GBR,ngdp_rpch,0.5,1.22776389812482,0.262595581270214,0.173282160312212,0.791886156542393,5.16319645257787,10.2381697501344,6.81350124771889,0.181818181818182,0.363636363636364,0.363636363636364,0.454545454545455,0.545454545454545,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.454545454545455,0.545454545454545,0.545454545454545,0.636363636363636,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1,1.86252720423397,0.430274328413334,0.316044829234394,1.11620804658624,7.93380428020713,16.0952332774901,10.5204226288996,0,0.272727272727273,0.363636363636364,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.545454545454545,0.636363636363636,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1.5,1.97833563532192,0.445422067243952,0.398826297436142,1.13408727064183,8.26874302789908,16.6648547521021,11.0321446573473,0.0909090909090909,0.0909090909090909,0.272727272727273,0.454545454545455,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.363636363636364,0.545454545454545,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,ITA,ngdp_rpch,0,0.429182985350622,0.072763420030006,0.00317089552329888,0.353248669797318,1.85626334074436,3.2575895575822,2.25840127139891,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.363636363636364,0.454545454545455,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,0.545454545454545,0.636363636363636,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,1,1,1,1,1
ar,ITA,ngdp_rpch,0.5,0.419992638006993,0.29078699736909,0.00909202660951374,0.12011361402839,1.86177676065408,3.15930135787071,2.16273305897553,0.272727272727273,0.363636363636364,0.545454545454545,0.636363636363636,0.818181818181818,0.909090909090909,0.909090909090909,1,1,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.363636363636364,0.545454545454545,0.636363636363636,0.909090909090909,0.909090909090909,0.909090909090909,1,1,1,1,1,1
ar,ITA,ngdp_rpch,1,1.6983774676898,0.529399102094022,0.000688898286710798,1.16828946730906,7.2375569106212,13.1174520902133,9.06377955822597,0.181818181818182,0.181818181818182,0.272727272727273,0.454545454545455,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.272727272727273,0.272727272727273,0.545454545454545,0.727272727272727,0.818181818181818,0.818181818181818,1,1,1,1,1,1,1,1,1
ar,ITA,ngdp_rpch,1.5,2.34921689537251,0.589094114552524,0.450227101613724,1.30989567920626,9.85307615582938,17.5019300870595,12.1415652183207,0,0,0.0909090909090909,0.181818181818182,0.545454545454545,0.636363636363636,0.727272727272727,0.727272727272727,0.727272727272727,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,JPN,ngdp_rpch,0,0.358085320339912,0.0784245279945068,0.0111126736880484,0.268548118657357,1.55460373493352,2.64096071391272,1.84794433983179,0,0.125,0.125,0.25,0.5,0.5,0.5,0.625,0.625,0.375,0.375,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.75,0.75,0.75,1,1,1,1,1
