target_year,target,horizon,method,error_method,source,score
2023,ngdp_rpch,0.5,rolling window,absolute,ar,0.553948840242085
2013,ngdp_rpch,1,rolling window,absolute,ar,0.855974531521505
2014,ngdp_rpch,1,rolling window,absolute,ar,1.0127443451785
2015,ngdp_rpch,1,rolling window,absolute,ar,0.87328514012402
2016,ngdp_rpch,1,rolling window,absolute,ar,0.727296942146104
2017,ngdp_rpch,1,rolling window,absolute,ar,0.591932522405771
2018,ngdp_rpch,1,rolling window,absolute,ar,0.741363389469521
2019,ngdp_rpch,1,rolling window,absolute,ar,0.680098603268207
2020,ngdp_rpch,1,rolling window,absolute,ar,7.84629892075847
2021,ngdp_rpch,1,rolling window,absolute,ar,1.33790681680169
2022,ngdp_rpch,1,rolling window,absolute,ar,0.546360801372814
2023,ngdp_rpch,1,rolling window,absolute,ar,0.990755831706638
2013,ngdp_rpch,1.5,rolling window,absolute,ar,1.22611758159556
2014,ngdp_rpch,1.5,rolling window,absolute,ar,1.06086946606711
2015,ngdp_rpch,1.5,rolling window,absolute,ar,0.948943316420741
2016,ngdp_rpch,1.5,rolling window,absolute,ar,0.956151126036598
2017,ngdp_rpch,1.5,rolling window,absolute,ar,0.719938207099345
2018,ngdp_rpch,1.5,rolling window,absolute,ar,0.819732648865961
2019,ngdp_rpch,1.5,rolling window,absolute,ar,0.977305248154523
2020,ngdp_rpch,1.5,rolling window,absolute,ar,8.00481555176251
2021,ngdp_rpch,1.5,rolling window,absolute,ar,2.86077667395694
2022,ngdp_rpch,1.5,rolling window,absolute,ar,0.720547942900188
2023,ngdp_rpch,1.5,rolling window,absolute,ar,1.07545812380527
2013,pcpi_pch,0,rolling window,absolute,ar,0.0980896156193895
2014,pcpi_pch,0,rolling window,absolute,ar,0.133524569331531
2015,pcpi_pch,0,rolling window,absolute,ar,0.190470339884384
2016,pcpi_pch,0,rolling window,absolute,ar,0.104881357926734
2017,pcpi_pch,0,rolling window,absolute,ar,0.0673846850078188
2018,pcpi_pch,0,rolling window,absolute,ar,0.0887511537461471
2019,pcpi_pch,0,rolling window,absolute,ar,0.0921975800256061
2020,pcpi_pch,0,rolling window,absolute,ar,0.103466884079772
2021,pcpi_pch,0,rolling window,absolute,ar,0.156018744086492
2022,pcpi_pch,0,rolling window,absolute,ar,0.983104736912139
2023,pcpi_pch,0,rolling window,absolute,ar,0.242472998264295
2013,pcpi_pch,0.5,rolling window,absolute,ar,0.23632003584137
2014,pcpi_pch,0.5,rolling window,absolute,ar,0.433478606953538
2015,pcpi_pch,0.5,rolling window,absolute,ar,0.234962078359801
2016,pcpi_pch,0.5,rolling window,absolute,ar,0.305730794868004
2017,pcpi_pch,0.5,rolling window,absolute,ar,0.327353908737366
2018,pcpi_pch,0.5,rolling window,absolute,ar,0.349060123779983
2019,pcpi_pch,0.5,rolling window,absolute,ar,0.321133181915717
2020,pcpi_pch,0.5,rolling window,absolute,ar,0.467395673650646
2021,pcpi_pch,0.5,rolling window,absolute,ar,0.511141915150441
2022,pcpi_pch,0.5,rolling window,absolute,ar,1.60296945069992
2023,pcpi_pch,0.5,rolling window,absolute,ar,0.362412614874572
2013,pcpi_pch,1,rolling window,absolute,ar,0.678137924258556
2014,pcpi_pch,1,rolling window,absolute,ar,1.01580134204321
2015,pcpi_pch,1,rolling window,absolute,ar,1.22336052566994
2016,pcpi_pch,1,rolling window,absolute,ar,1.02146155511887
2017,pcpi_pch,1,rolling window,absolute,ar,0.542146372676559
2018,pcpi_pch,1,rolling window,absolute,ar,0.550309161012891
2019,pcpi_pch,1,rolling window,absolute,ar,0.919047890679948
2020,pcpi_pch,1,rolling window,absolute,ar,1.23329794925716
2021,pcpi_pch,1,rolling window,absolute,ar,0.674751300932942
2022,pcpi_pch,1,rolling window,absolute,ar,3.29020317365454
2023,pcpi_pch,1,rolling window,absolute,ar,0.678549727917151
2013,pcpi_pch,1.5,rolling window,absolute,ar,1.52244358113714
2014,pcpi_pch,1.5,rolling window,absolute,ar,1.37111655227869
2015,pcpi_pch,1.5,rolling window,absolute,ar,1.97279866161865
2016,pcpi_pch,1.5,rolling window,absolute,ar,1.08587599609486
2017,pcpi_pch,1.5,rolling window,absolute,ar,0.746265684604887
2018,pcpi_pch,1.5,rolling window,absolute,ar,0.920427653436662
2019,pcpi_pch,1.5,rolling window,absolute,ar,1.16659160938696
2020,pcpi_pch,1.5,rolling window,absolute,ar,1.2908331396928
2021,pcpi_pch,1.5,rolling window,absolute,ar,0.777901782517222
2022,pcpi_pch,1.5,rolling window,absolute,ar,3.18717118547663
2023,pcpi_pch,1.5,rolling window,absolute,ar,1.26402363498593
2013,ngdp_rpch,0,rolling window,absolute,ar-direct,0.196307949215706
2014,ngdp_rpch,0,rolling window,absolute,ar-direct,0.366239836631906
2015,ngdp_rpch,0,rolling window,absolute,ar-direct,0.276668083269783
2016,ngdp_rpch,0,rolling window,absolute,ar-direct,0.204589871814936
2017,ngdp_rpch,0,rolling window,absolute,ar-direct,0.219846203386892
2018,ngdp_rpch,0,rolling window,absolute,ar-direct,0.241684826877548
2019,ngdp_rpch,0,rolling window,absolute,ar-direct,0.294510044523086
2020,ngdp_rpch,0,rolling window,absolute,ar-direct,0.532956630765688
2021,ngdp_rpch,0,rolling window,absolute,ar-direct,0.95416308587472
2022,ngdp_rpch,0,rolling window,absolute,ar-direct,0.243313402386716
2023,ngdp_rpch,0,rolling window,absolute,ar-direct,0.174247650418017
2013,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.360486564117942
2014,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.812073233809766
2015,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.536034587079895
2016,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.413883968296321
2017,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.325843500010958
2018,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.410683676448498
2019,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.435491684642437
2020,ngdp_rpch,0.5,rolling window,absolute,ar-direct,3.62813881871811
2021,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.755502119441779
2022,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.464351156510575
2023,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.517061873445053
2013,ngdp_rpch,1,rolling window,absolute,ar-direct,0.913531600718458
2014,ngdp_rpch,1,rolling window,absolute,ar-direct,1.11156068896095
2015,ngdp_rpch,1,rolling window,absolute,ar-direct,0.804037734570128
2016,ngdp_rpch,1,rolling window,absolute,ar-direct,0.685892769673003
2017,ngdp_rpch,1,rolling window,absolute,ar-direct,0.505555849170318
2018,ngdp_rpch,1,rolling window,absolute,ar-direct,0.75470315278668
2019,ngdp_rpch,1,rolling window,absolute,ar-direct,0.678266131362435
2020,ngdp_rpch,1,rolling window,absolute,ar-direct,7.82904763785035
2021,ngdp_rpch,1,rolling window,absolute,ar-direct,1.27189064477009
2022,ngdp_rpch,1,rolling window,absolute,ar-direct,0.61301799704908
2023,ngdp_rpch,1,rolling window,absolute,ar-direct,0.953058363935357
2013,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.31145823495845
