model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,GBR,ngdp_rpch,0.5,0.310332491065018,0.175262513549489,0,0.135069977515529,1.66301168201062,2.0491206162738,1.85606614914221,0.5,0.666666666666667,0.333333333333333,0.5,1,1
IMF,absolute,rolling window,GBR,ngdp_rpch,1,0.786437350543895,0.247327132253469,0.0158783070376237,0.523231911252803,3.61379485829778,6.69425986513345,5.15402736171562,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.833333333333333,1
IMF,absolute,rolling window,GBR,ngdp_rpch,1.5,1.10382726067372,0.253721088128997,0.0903166761101642,0.759789496434563,4.99339578131381,9.59305576018997,7.29322577075189,0.333333333333333,0.583333333333333,0.333333333333333,0.5,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,ITA,ngdp_rpch,0,0.180244233528642,0.100551598892763,0.0124287929043492,0.0672638417315297,0.847650613243522,1.48575813746403,1.16670437535378,0.5,0.75,0.0833333333333333,0.333333333333333,0.833333333333333,0.833333333333333
IMF,absolute,rolling window,ITA,ngdp_rpch,0.5,0.37623032843292,0.258701661434343,0.00515527936211208,0.112373387636465,2.01248776652988,2.4933871523337,2.25293745943179,0.5,0.75,0.25,0.416666666666667,0.916666666666667,1
IMF,absolute,rolling window,ITA,ngdp_rpch,1,1.03108395822539,0.428158030301575,0.00125659238324833,0.601669335540566,5.2232580421883,7.56353405903705,6.39339605061267,0.333333333333333,0.666666666666667,0.333333333333333,0.583333333333333,0.916666666666667,1
IMF,absolute,rolling window,ITA,ngdp_rpch,1.5,1.26294007468072,0.521124366491552,0.0237115300161036,0.718104178173062,6.27135382828443,9.58041692290329,7.92588537559386,0.416666666666667,0.583333333333333,0.416666666666667,0.5,0.916666666666667,1
IMF,absolute,rolling window,JPN,ngdp_rpch,0,0.426068087629253,0.188111846806732,0.0798917110392291,0.158064529783292,2.15705420362732,3.12872624351677,2.64289022357205,0.416666666666667,0.75,0.166666666666667,0.25,0.666666666666667,0.916666666666667
IMF,absolute,rolling window,JPN,ngdp_rpch,0.5,0.710845210405921,0.420670324034549,0.165351890417016,0.124822995954356,3.79440964504995,4.73088009549355,4.26264487027175,0.416666666666667,0.583333333333333,0.166666666666667,0.25,0.666666666666667,0.75
IMF,absolute,rolling window,JPN,ngdp_rpch,1,1.20725000266968,0.492440570338734,0.112956465019159,0.601852967311784,5.92163877918464,9.34090310543193,7.63127094230829,0.583333333333333,0.666666666666667,0.25,0.333333333333333,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,JPN,ngdp_rpch,1.5,1.39129087272869,0.66182450878877,0.147953250487373,0.581513113452543,6.68663645635082,11.1092263136967,8.89793138502375,0.666666666666667,0.666666666666667,0.25,0.25,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,USA,ngdp_rpch,0,0.302505470652061,0.185318133237815,0.0160866598660875,0.101100677548158,1.46730743663562,2.38184082145216,1.92457412904389,0.583333333333333,0.75,0.166666666666667,0.25,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,USA,ngdp_rpch,0.5,0.362043941691408,0.28792167025707,0.0102785525655133,0.0638437188688254,1.81105858691014,2.71323236655282,2.26214547673148,0.75,0.833333333333333,0.166666666666667,0.166666666666667,0.916666666666667,1
IMF,absolute,rolling window,USA,ngdp_rpch,1,0.746310599788426,0.445916259303318,0.0299613650796508,0.270432975405457,3.87543417573683,5.23762655642645,4.55653036608164,0.5,0.833333333333333,0.166666666666667,0.333333333333333,0.833333333333333,1
IMF,absolute,rolling window,USA,ngdp_rpch,1.5,0.9238763623865,0.474002894330671,0.116023684230974,0.333849783824855,4.71427243244131,6.69184616662672,5.70305929953402,0.583333333333333,0.666666666666667,0.25,0.333333333333333,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,CAN,pcpi_pch,0,0.146581452885657,0.0876836096925756,0.0213669747763958,0.0375308684166858,0.679688499885888,1.23240780799843,0.956048153942157,0.75,0.75,0.166666666666667,0.166666666666667,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,CAN,pcpi_pch,0.5,0.293962320157105,0.164615174173278,0.11559706106325,0.0137500849205771,1.49045393679697,2.15311156114967,1.82178274897332,0.5,0.833333333333333,0,0.166666666666667,0.666666666666667,0.833333333333333
