model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,GBR,ngdp_rpch,1,1.04425630507063,0.383159108531045,0.0111835548509896,0.649913641688595,2.34669954651546,4.19716121792365,3.27193038221955,0.666666666666667,0.916666666666667,0.0833333333333333,0.333333333333333,1,1
ar,GBR,ngdp_rpch,1.5,1.20743574645116,0.407687109526198,0.00893724762919443,0.790811389295765,2.51531278680274,4.4749427180024,3.49512775240257,0.666666666666667,0.916666666666667,0.0833333333333333,0.333333333333333,1,1
ar,ITA,ngdp_rpch,0,0.297662148545667,0.0603028472675645,0.035237055392547,0.202122245885555,0.40439972576405,0.671589656552985,0.537994691158517,0.5,0.583333333333333,0.333333333333333,0.333333333333333,0.833333333333333,0.916666666666667
ar,ITA,ngdp_rpch,0.5,0.712009036821385,0.257749678684384,0.00413326044340927,0.450126097693593,1.57515288389448,2.82229198050176,2.19872243219812,0.583333333333333,0.75,0.25,0.416666666666667,1,1
ar,ITA,ngdp_rpch,1,1.57286394418143,0.470921308548029,0,1.1019426356334,2.94666792526073,5.16125014719473,4.05395903622773,0.25,0.75,0.25,0.75,1,1
ar,ITA,ngdp_rpch,1.5,2.0844279983429,0.523471219195776,0,1.56095677914712,3.37304533065382,5.76346895353003,4.56825714209192,0.166666666666667,0.5,0.5,0.833333333333333,1,1
ar,JPN,ngdp_rpch,0,0.483149903022795,0.0757310552275092,0.23759632839812,0.169822519397165,0.539198650797656,0.850143704502477,0.694671177650066,0.166666666666667,0.25,0.25,0.25,0.416666666666667,0.5
ar,JPN,ngdp_rpch,0.5,1.03216101235605,0.328668678457935,0.218265438234375,0.485226895663736,2.04846005024937,3.60885379094891,2.82865692059914,0.583333333333333,0.666666666666667,0.25,0.333333333333333,0.916666666666667,0.916666666666667
ar,JPN,ngdp_rpch,1,1.90887530705497,0.619349673100197,0.00580584669633929,1.28371978725844,3.84857009086207,6.7823351500058,5.31545262043393,0.416666666666667,0.75,0.25,0.583333333333333,1,1
ar,JPN,ngdp_rpch,1.5,2.58568965930012,0.704897636189922,0.0472441532689453,1.83354786984125,4.46428573420126,7.75043156969873,6.10735865194999,0.25,0.583333333333333,0.416666666666667,0.75,1,1
ar,USA,ngdp_rpch,0,0.251939736439979,0.0533561503105901,0.124428041624315,0.0741555445050742,0.356805120407225,0.589966876830146,0.473385998618686,0.166666666666667,0.333333333333333,0.166666666666667,0.25,0.416666666666667,0.5
ar,USA,ngdp_rpch,0.5,0.400494834151193,0.227066174265014,0.048549118138851,0.124879541747329,1.32755111653326,2.46771874341574,1.8976349299745,0.666666666666667,0.916666666666667,0.0833333333333333,0.25,0.916666666666667,1
ar,USA,ngdp_rpch,1,0.983930744866045,0.412793436050779,0.0104457095831704,0.560691599232096,2.50124434613486,4.51386015105874,3.5075522485968,0.666666666666667,0.75,0.25,0.333333333333333,1,1
ar,USA,ngdp_rpch,1.5,1.1542630408848,0.458060684194093,0.0166798292847561,0.679522527405948,2.78148191776495,5.01186022809723,3.89667107293109,0.666666666666667,0.75,0.25,0.333333333333333,1,1
ar,CAN,pcpi_pch,0,0.109137772751218,0.0510118097801177,1.09884154500844e-05,0.0581149745556504,0.304289597008691,0.556881960944902,0.430585778976797,0.75,0.916666666666667,0.0833333333333333,0.25,1,1
ar,CAN,pcpi_pch,0.5,0.366180118017209,0.205179576859546,0.041316244995866,0.119684296161797,1.2034059098444,2.23480208253501,1.7191039961897,0.75,0.916666666666667,0.0833333333333333,0.166666666666667,0.916666666666667,1
ar,CAN,pcpi_pch,1,0.869350922317222,0.452162160999728,0.00036070858002474,0.416828052737469,2.6743292248271,4.9270086108514,3.80066891783925,0.666666666666667,0.916666666666667,0.0833333333333333,0.333333333333333,1,1
ar,CAN,pcpi_pch,1.5,1.06899944796421,0.588576440383798,0,0.48042300758041,3.4382123563295,6.39468189478578,4.91644712555764,0.666666666666667,1,0,0.333333333333333,1,1
ar,DEU,pcpi_pch,0,0.115873672784196,0.0375079634416274,0.0559959907925334,0.0223697185500352,0.23336576457062,0.410623012082437,0.321994388326528,0.416666666666667,0.75,0,0.333333333333333,0.75,0.75
ar,DEU,pcpi_pch,0.5,0.287008263024208,0.163444943513334,0.00249596380598687,0.121067355704887,0.962041041995264,1.77880914257246,1.37042509228386,0.75,0.833333333333333,0.166666666666667,0.25,1,1
ar,DEU,pcpi_pch,1,0.585713893873283,0.311479586270892,0.00197601041857163,0.272258297183819,1.83329183161735,3.39238069259987,2.61283626210861,0.583333333333333,0.916666666666667,0.0833333333333333,0.416666666666667,1,1
ar,DEU,pcpi_pch,1.5,0.774996746950573,0.3554230716321,0,0.419573675318473,2.11791057770547,3.86887439931283,2.99339248850915,0.5,0.833333333333333,0.166666666666667,0.5,1,1
ar,FRA,pcpi_pch,0,0.11784234682148,0.0530719465401135,0.0647704002813663,0,0.316514179266378,0.576906327876886,0.446710253571632,0.333333333333333,0.833333333333333,0,0,0.333333333333333,0.833333333333333
