target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
2015,ngdp_rpch,1.5,ar,0.970994455468259,0.501042773378292,0,0.469951682089967,4.26949093979365,5.44365851501999,4.46405221386824,0.285714285714286,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.857142857142857,1,1,0,0,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,1,1,1,1,1,1,1,1,1
2016,ngdp_rpch,1.5,ar,0.93986106120035,0.498787417564803,0,0.441073643635547,3.90031317520086,5.41915484481292,4.30077654501233,0,0,0.285714285714286,0.285714285714286,0.428571428571429,0.714285714285714,1,1,1,0,0,0,0.285714285714286,0.571428571428571,0.714285714285714,0.714285714285714,1,1,1,1,1,1,1,1,1,1,1
2017,ngdp_rpch,1.5,ar,0.633657972243618,0.495828826015037,2.03527289324823e-05,0.137808793499648,2.8358415259872,5.38701075864287,3.44235394636846,0.285714285714286,0.285714285714286,0.571428571428571,0.857142857142857,0.857142857142857,1,1,1,1,0,0,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714,1,1,1,1,1,1,1,1,1
2018,ngdp_rpch,1.5,ar,0.845000954002409,0.492568187506366,0,0.352432766496043,3.3446684653141,5.35158503548065,3.9981103438102,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.714285714285714,0.857142857142857,1,1,1,0,0,0,0.142857142857143,0.285714285714286,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1
2019,ngdp_rpch,1.5,ar,0.979391028168073,0.489195415310858,0,0.490195612857215,3.94054816870206,5.31494101812958,4.35872545467755,0,0,0,0.142857142857143,0.285714285714286,0.714285714285714,1,1,1,0,0,0,0.285714285714286,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,1
2020,ngdp_rpch,1.5,ar,7.98896900548259,0.486865149223418,0,7.50210385625917,33.6317948659264,69.8809098893512,45.8237978194249,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021,ngdp_rpch,1.5,ar,2.7530597867991,0.46924802654703,2.28381176025207,0,12.2789865795423,19.6099362637825,13.9210612008276,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5
2022,ngdp_rpch,1.5,ar,0.716129197961862,0.53705917211829,0.142103676028431,0.0369663498151408,3.14088802932684,5.83496437970575,3.80554655217941,0.166666666666667,0.5,0.5,0.666666666666667,0.833333333333333,1,1,1,1,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,1,1,1,1
2023,ngdp_rpch,1.5,ar,1.05642993364928,0.538811174804567,0,0.51761875884471,4.30945670738116,5.8539992901929,4.8027798904186,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.666666666666667,0.833333333333333,1,1,0,0,0.166666666666667,0.333333333333333,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,1,1,1,1,1,1
2013,pcpi_pch,0,ar,0.0917251870377273,0.0591226533384027,0.0105093070602585,0.0220932266390662,0.382097942411953,0.642347424963609,0.454050964322843,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0.714285714285714,0.857142857142857,1,1,1,0,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1
2014,pcpi_pch,0,ar,0.128628263760364,0.0590754261547706,0.000858160301381483,0.0686946773042119,0.573572290117005,0.891793164087236,0.633183859383997,0,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1
2015,pcpi_pch,0,ar,0.189836418974283,0.0591579773208682,0.000352772740809992,0.130325668912605,0.852640220939469,1.27262661914372,0.961135168326351,0,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1
2016,pcpi_pch,0,ar,0.112438240364971,0.0591322133202776,0.00487471528088263,0.0484313117638106,0.503986445304916,0.755092577794495,0.543727151722857,0,0,0.285714285714286,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,1,1,1,1,1,1
2017,pcpi_pch,0,ar,0.0727991152911925,0.0588964226519379,0.013585452661297,0.000317239977957533,0.356835265156358,0.639889505863349,0.406220145748923,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,1,1,1,1,0,0,0,0,0,0,0,0,0,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,1,1,1,1
2018,pcpi_pch,0,ar,0.0916167276414671,0.0585459816447452,0.0106375483580364,0.0224331976386856,0.388589823787469,0.63608208407388,0.453150833073102,0.142857142857143,0.285714285714286,0.285714285714286,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,1,1,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,1,1,1,1
2019,pcpi_pch,0,ar,0.103034191183116,0.0584924986190911,0.00487239817995423,0.0396692943840709,0.460271362836517,0.814972830377418,0.539334284794751,0,0.428571428571429,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1
2020,pcpi_pch,0,ar,0.110575424910369,0.0584845847078324,0.0163884307050594,0.035702409497477,0.486282715796499,0.67396261331745,0.519091695953921,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.857142857142857,0.857142857142857,1,0,0,0,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1
2021,pcpi_pch,0,ar,0.160295669065715,0.056334249966514,0.103961419099201,0,0.703132770139562,0.969986474423151,0.746404968612807,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.833333333333333
2022,pcpi_pch,0,ar,0.970348019090989,0.0566764182758791,0.91367160081511,0,4.01561546024109,8.80345098034818,5.70186371413253,0,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
2023,pcpi_pch,0,ar,0.237361134831216,0.0567924187819574,0.168883179097998,0.0116855369512611,1.00808556036081,1.7439592576232,1.21160914407701,0,0,0,0.166666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
2013,pcpi_pch,0.5,ar,0.304346823880744,0.236742011435394,0.00090497656029237,0.0666998358850578,1.37691554986997,2.57212105410456,1.65301790559038,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.857142857142857,1,1,1,1,0,0,0,0,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,1,1,1,1,1,1,1,1,1
2014,pcpi_pch,0.5,ar,0.403625972433439,0.23569488551145,0.0659053518162413,0.102025735105748,1.66791166894383,2.56074438876769,1.91352938133789,0,0,0.285714285714286,0.428571428571429,0.714285714285714,0.714285714285714,1,1,1,0,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1
2015,pcpi_pch,0.5,ar,0.310240646587894,0.2360862305053,0.0694224753206162,0.00473194076197768,1.51251864015462,2.56499621839437,1.68396198402014,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,1,1,1,0,0,0,0,0,0,0,0,0.142857142857143,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,1,1,1
2016,pcpi_pch,0.5,ar,0.346257909833215,0.236341647707504,0.107456277984845,0.00245998414086669,1.63563368539972,2.59547936403372,1.80798958425191,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,0,0,0,0,0,0,0,0,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1
2017,pcpi_pch,0.5,ar,0.35422549079685,0.235501550942311,0.0121513611998802,0.106572578654659,1.60372930724396,2.55864387474083,1.80006025110413,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.714285714285714,0.857142857142857,1,1,1,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1
2018,pcpi_pch,0.5,ar,0.372532102341416,0.234309727853233,0.0643005713416941,0.0739218031464887,1.63430310266749,2.54569512415111,1.83951651442815,0,0.142857142857143,0.285714285714286,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,1,1,0,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1
2019,pcpi_pch,0.5,ar,0.35995775747557,0.233870449008799,0.120792145314493,0.00529516315227703,1.80820616735517,2.54092250961793,1.85915304837322,0.285714285714286,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,1,1,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,1,1
2020,pcpi_pch,0.5,ar,0.426477581166622,0.233289919775561,0,0.193187661391061,1.65207983493136,2.53461525787886,1.96382570283122,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,1,1,1,0,0,0,0.285714285714286,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1
2021,pcpi_pch,0.5,ar,0.474737114896179,0.221615928309437,0.24674015677204,0.00638102981470244,1.95181020189591,3.25304021265245,2.29801853173574,0,0,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
2022,pcpi_pch,0.5,ar,1.4814910141117,0.22166568140445,1.25982533270725,0,6.35908676343994,11.5807493604016,7.91743582077446,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.5
2023,pcpi_pch,0.5,ar,0.338374906671005,0.225540247159488,0.112061843725158,0.000772815786358775,1.50526882255006,2.45041771314499,1.71286361276033,0.333333333333333,0.5,0.5,0.5,0.833333333333333,0.833333333333333,1,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.5,0.5,0.833333333333333,0.833333333333333,1,1,1
2013,pcpi_pch,1,ar,0.694164967365748,0.512867405536651,0,0.181297561829097,3.02301635028289,5.57212910267425,3.65202636231664,0.142857142857143,0.285714285714286,0.571428571428571,0.714285714285714,0.714285714285714,1,1,1,1,0,0,0,0,0.285714285714286,0.285714285714286,0.428571428571429,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1
