model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar_bic,directional,rolling window,ngdp_rpch,1.5,1.28567788986119,0.350791234812142,0.285275690677303,0.64961096437175,5.86013919143521,11.0632098186359,8.46167450503554,0.452380952380952,0.678571428571429,0.226190476190476,0.345238095238095,0.797619047619048,0.904761904761905
ar_bic,directional,rolling window,pcpi_pch,0,0.0783168713372907,0.0216923647614857,0.0140339393027831,0.0425905672730219,0.364823818000774,0.654277881743878,0.509550849872326,0.333333333333333,0.547619047619048,0.25,0.333333333333333,0.666666666666667,0.797619047619048
ar_bic,directional,rolling window,pcpi_pch,0.5,0.231151144246793,0.0990077526129316,0.0891122458885751,0.043031145745286,1.14735809525268,1.75462764680415,1.45099287102842,0.440476190476191,0.642857142857143,0.119047619047619,0.202380952380952,0.642857142857143,0.761904761904762
ar_bic,directional,rolling window,pcpi_pch,1,0.618732773243799,0.149750918356647,0.203722954097191,0.265258900789961,2.81436453809621,5.33874411963546,4.07655432886584,0.369047619047619,0.535714285714286,0.166666666666667,0.214285714285714,0.583333333333333,0.702380952380952
ar_bic,directional,rolling window,pcpi_pch,1.5,0.652065394070363,0.23037436306606,0.291412252862475,0.130278778141828,3.24033622800862,4.94046731138572,4.09040176969717,0.297619047619048,0.607142857142857,0.0833333333333333,0.142857142857143,0.440476190476191,0.690476190476191
bvar,directional,rolling window,ngdp_rpch,0,0.100121405315019,0.0369181952597626,0.0136719126531834,0.0495312974020725,0.473198211394849,0.819432577813249,0.646315394604049,0.428571428571429,0.690476190476191,0.19047619047619,0.345238095238095,0.773809523809524,0.880952380952381
bvar,directional,rolling window,ngdp_rpch,0.5,0.443929578841657,0.169400831846733,0.113687910127045,0.16084083686788,2.14337999621631,3.52014158629238,2.83176079125434,0.428571428571429,0.666666666666667,0.178571428571429,0.345238095238095,0.773809523809524,0.845238095238095
bvar,directional,rolling window,ngdp_rpch,1,0.968592409383891,0.288950733878226,0.137108629884265,0.5425330456214,4.48202412042718,8.16678788660987,6.32440600351852,0.440476190476191,0.642857142857143,0.214285714285714,0.392857142857143,0.833333333333333,0.857142857142857
bvar,directional,rolling window,ngdp_rpch,1.5,1.15804826208541,0.350456091491071,0.196240003862652,0.611352166731689,5.34751230972141,9.79218446740473,7.56984838856307,0.476190476190476,0.690476190476191,0.202380952380952,0.345238095238095,0.821428571428571,0.892857142857143
bvar,directional,rolling window,pcpi_pch,0,0.0716278359032021,0.0173319404730501,0.0139891076584088,0.0403067877717432,0.327468720936906,0.613884915721775,0.470676818329341,0.261904761904762,0.488095238095238,0.285714285714286,0.357142857142857,0.619047619047619,0.773809523809524
bvar,directional,rolling window,pcpi_pch,0.5,0.299175955480619,0.108667155681351,0.147877837851517,0.0426309619477516,1.48148776176947,2.27979970518871,1.88064373347909,0.321428571428571,0.571428571428571,0.107142857142857,0.202380952380952,0.523809523809524,0.678571428571429
bvar,directional,rolling window,pcpi_pch,1,0.554473549183222,0.162727165033514,0.221912183503479,0.169834200646229,2.66010800677806,4.4392009667193,3.54965448674868,0.392857142857143,0.583333333333333,0.142857142857143,0.178571428571429,0.571428571428571,0.726190476190476
bvar,directional,rolling window,pcpi_pch,1.5,0.714844369490073,0.225178545079353,0.406598191309059,0.0830676331016614,3.49875776439477,5.54999297881454,4.52437537160466,0.25,0.547619047619048,0.0595238095238095,0.119047619047619,0.369047619047619,0.607142857142857
bvar_const,directional,rolling window,ngdp_rpch,0,0.101215739135153,0.0368875529641915,0.0141653078892162,0.0501628782817455,0.476838448835061,0.83221866061541,0.654528554725236,0.392857142857143,0.678571428571429,0.202380952380952,0.392857142857143,0.785714285714286,0.880952380952381
bvar_const,directional,rolling window,ngdp_rpch,0.5,0.452054488651239,0.168624003118369,0.116003624640755,0.167426860892115,2.17441033027619,3.60506394733432,2.88973713880525,0.428571428571429,0.642857142857143,0.19047619047619,0.321428571428571,0.75,0.833333333333333
bvar_const,directional,rolling window,ngdp_rpch,1,0.964069369674055,0.284796152274123,0.129660152927826,0.549613064472106,4.4647284922727,8.11956616279936,6.29214732753603,0.452380952380952,0.654761904761905,0.226190476190476,0.369047619047619,0.821428571428571,0.880952380952381
bvar_const,directional,rolling window,ngdp_rpch,1.5,1.15893432402834,0.339694665060318,0.195247335492639,0.623992323475381,5.34078488332821,9.82672427224624,7.58375457778723,0.416666666666667,0.702380952380952,0.214285714285714,0.369047619047619,0.785714285714286,0.916666666666667
bvar_const,directional,rolling window,pcpi_pch,0,0.0721737761966032,0.017407378794024,0.0132790489460998,0.0414873484564794,0.33189477594486,0.613738584069915,0.472816680007387,0.261904761904762,0.523809523809524,0.261904761904762,0.369047619047619,0.630952380952381,0.785714285714286
bvar_const,directional,rolling window,pcpi_pch,0.5,0.318194024747059,0.111697850131973,0.153963844587813,0.0525323300272736,1.56224190414227,2.45827573458551,2.01025881936389,0.345238095238095,0.535714285714286,0.142857142857143,0.214285714285714,0.55952380952381,0.678571428571429
bvar_const,directional,rolling window,pcpi_pch,1,0.548140363066032,0.163975395411374,0.202351967603695,0.181813000050963,2.57822365520555,4.51724812330676,3.54773588925616,0.416666666666667,0.619047619047619,0.142857142857143,0.214285714285714,0.630952380952381,0.761904761904762
bvar_const,directional,rolling window,pcpi_pch,1.5,0.70488632518597,0.215216571296558,0.382659512065576,0.107010241823836,3.37863055717286,5.65115011078725,4.51489033398006,0.285714285714286,0.571428571428571,0.0714285714285714,0.154761904761905,0.440476190476191,0.642857142857143
mean_ensemble,directional,rolling window,ngdp_rpch,0,0.174176181758223,0.0911913501285656,0.0166458612907571,0.0663389703389005,0.837187110797721,1.39055585817016,1.11387148448394,0.55952380952381,0.773809523809524,0.178571428571429,0.297619047619048,0.857142857142857,0.952380952380952
