model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,CHE,ngdp_rpch,1,0.647766373832068,0.326313031248324,0.0422828348668614,0.279170507716883,1.44973566080143,3.19154308003076,2.32063937041609,0.545454545454545,0.818181818181818,0.0909090909090909,0.272727272727273,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,CHE,ngdp_rpch,1.5,0.739230305597841,0.354999946951142,0.0181584161352405,0.366071942511459,1.55299693367128,3.55355573673899,2.55327633520514,0.545454545454545,0.909090909090909,0.0909090909090909,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,CHN,ngdp_rpch,0,0.158259835743495,0.1033897533866,0.0451538224683941,0.00971625988850092,0.449033146217664,0.987422434032935,0.718227790125299,0.727272727272727,0.727272727272727,0.0909090909090909,0.0909090909090909,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,CHN,ngdp_rpch,0.5,0.387949707939816,0.210090331420415,0.07688189147899,0.100977485040411,0.935690264725308,1.99745149109399,1.46657087790965,0.727272727272727,0.727272727272727,0.181818181818182,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,CHN,ngdp_rpch,1,0.786632739971965,0.348198249141406,0.0254287644002695,0.41300572643029,1.73751915666329,2.98159743375405,2.35955829520867,0.727272727272727,0.727272727272727,0.181818181818182,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,CHN,ngdp_rpch,1.5,0.910100015033233,0.501604485836684,0,0.408495529196549,2.40258247964927,4.37007663782402,3.38632955873665,0.727272727272727,0.727272727272727,0.272727272727273,0.272727272727273,1,1
IMF,absolute,rolling window,ESP,ngdp_rpch,0,0.393226103111131,0.0702634198373259,0.278972054361609,0.0439906289121964,0.378259873709543,0.705557436608983,0.541908655159263,0.545454545454545,0.727272727272727,0.0909090909090909,0.181818181818182,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,ESP,ngdp_rpch,0.5,0.543582054288447,0.17465781789931,0.0881578957761008,0.280766340613035,0.955803956718286,1.41172119900132,1.1837625778598,0.272727272727273,0.545454545454545,0.181818181818182,0.181818181818182,0.454545454545455,0.727272727272727
IMF,absolute,rolling window,ESP,ngdp_rpch,1,1.56021620638461,0.360683575582963,0.087197321689146,1.1123353091125,1.836882367941,3.58255788532012,2.70972012663056,0.545454545454545,0.818181818181818,0.181818181818182,0.181818181818182,0.727272727272727,1
IMF,absolute,rolling window,ESP,ngdp_rpch,1.5,1.58975291223559,0.447957270799755,0.117505701940362,1.02428993949547,2.05762297992173,4.74762365418722,3.40262331705447,0.454545454545455,0.818181818181818,0.181818181818182,0.181818181818182,0.636363636363636,1
IMF,absolute,rolling window,IDN,ngdp_rpch,0,0.157237087273503,0.0665891233235416,0.0519453514511787,0.0387026124987827,0.310454862881257,0.628668028061791,0.469561445471524,0.727272727272727,0.727272727272727,0.0909090909090909,0.0909090909090909,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,IDN,ngdp_rpch,0.5,0.36511388509343,0.112335936095191,0,0.252777948998239,0.587460697042342,0.980994424382693,0.784227560712517,0.454545454545455,0.818181818181818,0.181818181818182,0.545454545454545,1,1
IMF,absolute,rolling window,IDN,ngdp_rpch,1,0.988408971903011,0.172006903987973,0,0.816402067915038,0.949632392647503,1.69703484176637,1.32333361720693,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
IMF,absolute,rolling window,IDN,ngdp_rpch,1.5,1.26943681728072,0.256635305776221,0,1.0128015115045,1.30267080873304,2.70054396828242,2.00160738850773,0.363636363636364,0.727272727272727,0.272727272727273,0.636363636363636,1,1
