model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_40,coverage_50,coverage_60,coverage_80,coverage_90
ar,directional,rolling window,FRA,pcpi_pch,0.5,,,,0.0449117935021744,,-0.241666666666667,,0,,,,0.416666666666667,,0.666666666666667
ar,directional,rolling window,FRA,pcpi_pch,1,,,,0.136029059564148,,-0.308333333333333,,0,,,,0.5,,0.75
ar,directional,rolling window,FRA,pcpi_pch,1.5,,,,0.119999061061769,,-0.491666666666667,,0,,,,0.25,,0.666666666666667
ar,directional,rolling window,GBR,ngdp_rpch,0,,,,0.0948912925904925,,,,0.166666666666667,,,,0.5,,0.833333333333333
ar,directional,rolling window,GBR,ngdp_rpch,0.5,,,,0.180610745098423,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
ar,directional,rolling window,GBR,ngdp_rpch,1,,,,0.754968491789162,,0.383333333333333,,0,,,,0.416666666666667,,0.75
ar,directional,rolling window,GBR,ngdp_rpch,1.5,,,,0.899661950571793,,,,0.0833333333333333,,,,0.416666666666667,,0.75
ar,directional,rolling window,GBR,pcpi_pch,0,,,,0.0868886174299669,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
ar,directional,rolling window,GBR,pcpi_pch,0.5,,,,0.046248763502543,,,,0.0833333333333333,,,,0.666666666666667,,0.833333333333333
ar,directional,rolling window,GBR,pcpi_pch,1,,,,0.211895864884825,,-0.125,,0,,,,0.25,,0.5
ar,directional,rolling window,GBR,pcpi_pch,1.5,,,,0.0510578141543743,,-0.533333333333333,,0,,,,0.333333333333333,,0.5
ar,directional,rolling window,ITA,ngdp_rpch,0,,,,0.127832161289516,,,,0.166666666666667,,,,0.416666666666667,,0.666666666666667
ar,directional,rolling window,ITA,ngdp_rpch,0.5,,,,0.28799431760632,,-0.175,,0,,,,0.583333333333333,,0.666666666666667
ar,directional,rolling window,ITA,ngdp_rpch,1,,,,0.605514883833429,,,,0.0833333333333333,,,,0.666666666666667,,0.833333333333333
ar,directional,rolling window,ITA,ngdp_rpch,1.5,,,,0.806653769706881,,,,0.0833333333333333,,,,0.25,,0.833333333333333
ar,directional,rolling window,ITA,pcpi_pch,0,,,,0.0149798737612425,,,,0.0833333333333333,,,,0.5,,0.833333333333333
ar,directional,rolling window,ITA,pcpi_pch,0.5,,,,0.000922807870082498,,,,0.25,,,,0.666666666666667,,0.75
ar,directional,rolling window,ITA,pcpi_pch,1,,,,0.228179725244586,,,,0.0833333333333333,,,,0.583333333333333,,0.666666666666667
ar,directional,rolling window,ITA,pcpi_pch,1.5,,,,0.109562899930147,,-0.691666666666667,,0,,,,0.25,,0.666666666666667
ar,directional,rolling window,JPN,ngdp_rpch,0,,,,0.126048206232156,,-0.308333333333333,,0,,,,0.333333333333333,,0.75
ar,directional,rolling window,JPN,ngdp_rpch,0.5,,,,0.211026924054221,,-0.141666666666667,,0,,,,0.583333333333333,,0.666666666666667
ar,directional,rolling window,JPN,ngdp_rpch,1,,,,0.496062535136593,,-0.233333333333333,,0,,,,0.333333333333333,,0.333333333333333
ar,directional,rolling window,JPN,ngdp_rpch,1.5,,,,0.44841305566697,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
ar,directional,rolling window,JPN,pcpi_pch,0,,,,0.0586925288753423,,,,0.0833333333333333,,,,0.25,,0.666666666666667
ar,directional,rolling window,JPN,pcpi_pch,0.5,,,,0.113430043040585,,-0.133333333333333,,0,,,,0.333333333333333,,0.833333333333333
ar,directional,rolling window,JPN,pcpi_pch,1,,,,0.223364363027013,,-0.225,,0,,,,0.416666666666667,,0.833333333333333
ar,directional,rolling window,JPN,pcpi_pch,1.5,,,,0.0759814099997513,,-0.375,,0,,,,0.25,,0.666666666666667
ar,directional,rolling window,USA,ngdp_rpch,0,,,,0.008093637582197,,,,0.166666666666667,,,,0.666666666666667,,0.916666666666667
ar,directional,rolling window,USA,ngdp_rpch,0.5,,,,0.15469871619648,,,,0.0833333333333333,,,,0.5,,0.916666666666667
ar,directional,rolling window,USA,ngdp_rpch,1,,,,0.749353539935363,,0.166666666666667,,0,,,,0.5,,0.666666666666667
ar,directional,rolling window,USA,ngdp_rpch,1.5,,,,0.826768400192885,,,,0.166666666666667,,,,0.5,,0.75
ar,directional,rolling window,USA,pcpi_pch,0,,,,0.112107898686386,,0.333333333333333,,0,,,,0.166666666666667,,0.5
ar,directional,rolling window,USA,pcpi_pch,0.5,,,,0.128248092718606,,-0.0333333333333333,,0,,,,0.25,,0.583333333333333
ar,directional,rolling window,USA,pcpi_pch,1,,,,0.517840302780177,,-0.125,,0,,,,0.416666666666667,,0.5
ar,directional,rolling window,USA,pcpi_pch,1.5,,,,0.394451981100262,,-0.158333333333333,,0,,,,0.25,,0.833333333333333
bvar,directional,rolling window,CAN,ngdp_rpch,0,,,,0.0791496106150602,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
bvar,directional,rolling window,CAN,ngdp_rpch,0.5,,,,0.0612017515994859,,,,0.0833333333333333,,,,0.583333333333333,,0.833333333333333
bvar,directional,rolling window,CAN,ngdp_rpch,1,,,,0.558560527132691,,,,0.0833333333333333,,,,0.583333333333333,,0.833333333333333
bvar,directional,rolling window,CAN,ngdp_rpch,1.5,,,,0.560022814319948,,0.266666666666667,,0,,,,0.666666666666667,,0.833333333333333
bvar,directional,rolling window,CAN,pcpi_pch,0,,,,0.0469196988905762,,,,0.0833333333333333,,,,0.583333333333333,,0.833333333333333
bvar,directional,rolling window,CAN,pcpi_pch,0.5,,,,0.130820347767158,,-0.0666666666666667,,0,,,,0.5,,0.666666666666667
bvar,directional,rolling window,CAN,pcpi_pch,1,,,,0.281025483823012,,,,0.0833333333333333,,,,0.333333333333333,,0.75
bvar,directional,rolling window,CAN,pcpi_pch,1.5,,,,0.101946768701474,,,,0.0833333333333333,,,,0.5,,0.833333333333333
bvar,directional,rolling window,DEU,ngdp_rpch,0,,,,0.208810983796231,,,,0.0833333333333333,,,,0.416666666666667,,0.833333333333333
bvar,directional,rolling window,DEU,ngdp_rpch,0.5,,,,0.245806426164463,,-0.141666666666667,,0,,,,0.416666666666667,,0.833333333333333
