model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar_bic,directional,rolling window,pcpi_pch,0.5,0.25312144703877,0.123179604684357,0.0824760481645221,0.0474657941898912,1.28601903769735,1.84738134653203,1.56670019211469,0.404761904761905,0.678571428571429,0.119047619047619,0.238095238095238,0.642857142857143,0.797619047619048
ar_bic,directional,rolling window,pcpi_pch,1,0.649881751555507,0.165894508239988,0.211006172090969,0.27298107122455,2.94482078277911,5.63558307416237,4.29020192847074,0.345238095238095,0.523809523809524,0.178571428571429,0.238095238095238,0.583333333333333,0.702380952380952
ar_bic,directional,rolling window,pcpi_pch,1.5,0.682692144425374,0.239677502882558,0.30982483642382,0.133189805118996,3.41144886523903,5.12522072540991,4.26833479532447,0.30952380952381,0.619047619047619,0.0833333333333333,0.142857142857143,0.452380952380952,0.702380952380952
bvar,directional,rolling window,ngdp_rpch,0,0.316026826962471,0.144175268438404,0.0991424816617836,0.0727090768622831,1.59038486155474,2.34457438536256,1.96747962345865,0.369047619047619,0.630952380952381,0.142857142857143,0.238095238095238,0.607142857142857,0.773809523809524
bvar,directional,rolling window,ngdp_rpch,0.5,0.515558122881737,0.21348713450784,0.169129815296862,0.132941173077035,2.51930731010544,4.01289418237114,3.26610074623829,0.416666666666667,0.654761904761905,0.154761904761905,0.273809523809524,0.690476190476191,0.80952380952381
bvar,directional,rolling window,ngdp_rpch,1,0.914530844782769,0.275759901228829,0.155990759953953,0.482780183599988,4.27858334485085,7.59415853352828,5.93637093918956,0.416666666666667,0.666666666666667,0.178571428571429,0.333333333333333,0.75,0.845238095238095
bvar,directional,rolling window,ngdp_rpch,1.5,1.09701824158072,0.334710702484529,0.209389326712128,0.552918212384061,5.22105480344046,8.88772782301321,7.05439131322683,0.428571428571429,0.630952380952381,0.214285714285714,0.345238095238095,0.773809523809524,0.845238095238095
bvar,directional,rolling window,pcpi_pch,0,0.104064815987499,0.0474961612684508,0.022469108468402,0.0340995462506463,0.524302860624075,0.770539168189795,0.647421014406935,0.357142857142857,0.666666666666667,0.154761904761905,0.297619047619048,0.654761904761905,0.821428571428571
bvar,directional,rolling window,pcpi_pch,0.5,0.307017228052386,0.128979099278975,0.13477016403805,0.0432679647353615,1.55090600954545,2.26307953718409,1.90699277336477,0.321428571428571,0.583333333333333,0.119047619047619,0.226190476190476,0.547619047619048,0.702380952380952
bvar,directional,rolling window,pcpi_pch,1,0.569874731149463,0.166327212459865,0.232283252965375,0.171264265724223,2.71844174921754,4.60139024994542,3.65991599958148,0.369047619047619,0.583333333333333,0.119047619047619,0.19047619047619,0.55952380952381,0.702380952380952
