target_year,target,horizon,method,error_method,source,score
2022,ngdp_rpch,0.5,rolling window,absolute,ar,0.410402161734842
2023,ngdp_rpch,0.5,rolling window,absolute,ar,0.544006645280159
2013,ngdp_rpch,1,rolling window,absolute,ar,0.94289877233943
2014,ngdp_rpch,1,rolling window,absolute,ar,0.914727747076653
2015,ngdp_rpch,1,rolling window,absolute,ar,0.988477269711072
2016,ngdp_rpch,1,rolling window,absolute,ar,0.88937350289507
2017,ngdp_rpch,1,rolling window,absolute,ar,0.79351477722887
2018,ngdp_rpch,1,rolling window,absolute,ar,0.875542905808095
2019,ngdp_rpch,1,rolling window,absolute,ar,0.779206379754187
2020,ngdp_rpch,1,rolling window,absolute,ar,6.87900962109542
2021,ngdp_rpch,1,rolling window,absolute,ar,2.14346831598339
2022,ngdp_rpch,1,rolling window,absolute,ar,0.654322345319478
2023,ngdp_rpch,1,rolling window,absolute,ar,0.993111405526655
2013,ngdp_rpch,1.5,rolling window,absolute,ar,1.23678334126481
2014,ngdp_rpch,1.5,rolling window,absolute,ar,1.01021800430385
2015,ngdp_rpch,1.5,rolling window,absolute,ar,1.02931539998211
2016,ngdp_rpch,1.5,rolling window,absolute,ar,1.05085930438661
2017,ngdp_rpch,1.5,rolling window,absolute,ar,0.875742771089246
2018,ngdp_rpch,1.5,rolling window,absolute,ar,0.952164924495651
2019,ngdp_rpch,1.5,rolling window,absolute,ar,0.99440975412562
2020,ngdp_rpch,1.5,rolling window,absolute,ar,7.04112335482046
2021,ngdp_rpch,1.5,rolling window,absolute,ar,3.99313459223384
2022,ngdp_rpch,1.5,rolling window,absolute,ar,0.948373327068785
2023,ngdp_rpch,1.5,rolling window,absolute,ar,1.18291643808619
2013,pcpi_pch,0,rolling window,absolute,ar,0.0891272398696823
2014,pcpi_pch,0,rolling window,absolute,ar,0.107152698651909
2015,pcpi_pch,0,rolling window,absolute,ar,0.0996763078528188
2016,pcpi_pch,0,rolling window,absolute,ar,0.0770459751646283
2017,pcpi_pch,0,rolling window,absolute,ar,0.0723788727033972
2018,pcpi_pch,0,rolling window,absolute,ar,0.0991952139230888
2019,pcpi_pch,0,rolling window,absolute,ar,0.0850520922911434
2020,pcpi_pch,0,rolling window,absolute,ar,0.0926934967159476
2021,pcpi_pch,0,rolling window,absolute,ar,0.0828378140692296
2022,pcpi_pch,0,rolling window,absolute,ar,0.16262438907395
2023,pcpi_pch,0,rolling window,absolute,ar,0.107164597954625
2013,pcpi_pch,0.5,rolling window,absolute,ar,0.279171071964384
2014,pcpi_pch,0.5,rolling window,absolute,ar,0.391309654857009
2015,pcpi_pch,0.5,rolling window,absolute,ar,0.276799913312643
2016,pcpi_pch,0.5,rolling window,absolute,ar,0.304713786968434
2017,pcpi_pch,0.5,rolling window,absolute,ar,0.352545895030533
2018,pcpi_pch,0.5,rolling window,absolute,ar,0.314684574783074
2019,pcpi_pch,0.5,rolling window,absolute,ar,0.351672622129703
2020,pcpi_pch,0.5,rolling window,absolute,ar,0.445981382927217
2021,pcpi_pch,0.5,rolling window,absolute,ar,0.460500185023391
2022,pcpi_pch,0.5,rolling window,absolute,ar,0.825383593133673
2023,pcpi_pch,0.5,rolling window,absolute,ar,0.285443245815446
2013,pcpi_pch,1,rolling window,absolute,ar,0.769515214959628
2014,pcpi_pch,1,rolling window,absolute,ar,0.992224603588018
2015,pcpi_pch,1,rolling window,absolute,ar,1.08021562041611
2016,pcpi_pch,1,rolling window,absolute,ar,0.927024257537053
2017,pcpi_pch,1,rolling window,absolute,ar,0.670884345757366
2018,pcpi_pch,1,rolling window,absolute,ar,0.69747730709129
2019,pcpi_pch,1,rolling window,absolute,ar,0.928786596273527
2020,pcpi_pch,1,rolling window,absolute,ar,1.19273553018132
2021,pcpi_pch,1,rolling window,absolute,ar,0.707825148502089
2022,pcpi_pch,1,rolling window,absolute,ar,2.30570174195523
2023,pcpi_pch,1,rolling window,absolute,ar,0.703723952972419
2013,pcpi_pch,1.5,rolling window,absolute,ar,1.56881098144696
2014,pcpi_pch,1.5,rolling window,absolute,ar,1.2890381681845
2015,pcpi_pch,1.5,rolling window,absolute,ar,1.79424035213477
2016,pcpi_pch,1.5,rolling window,absolute,ar,1.10479636512332
2017,pcpi_pch,1.5,rolling window,absolute,ar,0.99749959031706
2018,pcpi_pch,1.5,rolling window,absolute,ar,1.05716292034922
2019,pcpi_pch,1.5,rolling window,absolute,ar,1.18223725842113
2020,pcpi_pch,1.5,rolling window,absolute,ar,1.26405699536582
2021,pcpi_pch,1.5,rolling window,absolute,ar,1.04357186118985
2022,pcpi_pch,1.5,rolling window,absolute,ar,2.1403069797485
2023,pcpi_pch,1.5,rolling window,absolute,ar,1.3254378872074
2013,ngdp_rpch,0,rolling window,absolute,ar-direct,0.113976913235882
2014,ngdp_rpch,0,rolling window,absolute,ar-direct,0.111017332749738
2015,ngdp_rpch,0,rolling window,absolute,ar-direct,0.108702942764771
2016,ngdp_rpch,0,rolling window,absolute,ar-direct,0.107996121049938
2017,ngdp_rpch,0,rolling window,absolute,ar-direct,0.107157177377609
2018,ngdp_rpch,0,rolling window,absolute,ar-direct,0.106552992267555
2019,ngdp_rpch,0,rolling window,absolute,ar-direct,0.19802088343
2020,ngdp_rpch,0,rolling window,absolute,ar-direct,0.474423440315299
2021,ngdp_rpch,0,rolling window,absolute,ar-direct,0.161134796207879
