source,target,country,horizon,ae,sque
ar,ngdp_rpch,JPN,0,0.6145379401111,0.509638996106341
ar,ngdp_rpch,JPN,0.5,1.3460729462704,3.313339543132
ar,ngdp_rpch,USA,1,1.17543734504436,3.39611669914691
ar,ngdp_rpch,USA,1.5,1.45160945359478,4.70449780915315
ar,ngdp_rpch,USA,0,0.341773952980402,0.158509803543805
ar,ngdp_rpch,USA,0.5,0.567126428928649,0.463733893218668
ar,pcpi_pch,CAN,1,1.07436450295841,2.41493558450107
ar,pcpi_pch,CAN,1.5,1.61723566636834,3.19001521218001
ar,pcpi_pch,CAN,0,0.133001247038021,0.0423163432358207
ar,pcpi_pch,CAN,0.5,0.471018612292474,0.415318079856421
ar,pcpi_pch,DEU,1,0.773247678804033,1.05533118477361
ar,pcpi_pch,DEU,1.5,1.12387507430328,1.78071256103141
