model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95,interval_score_30,interval_score_90
ar,absolute,rolling window,ngdp_rpch,1,1.51429043491164,0.522779945914353,0.0707636546029838,0.920746834394303,6.36770073011998,11.4298206334446,7.94415135774088,0.162162162162162,0.27027027027027,0.351351351351351,0.405405405405405,0.486486486486487,0.594594594594595,0.716216216216216,0.837837837837838,0.864864864864865,0.121621621621622,0.148648648648649,0.256756756756757,0.364864864864865,0.472972972972973,0.554054054054054,0.608108108108108,0.675675675675676,0.77027027027027,0.932432432432432,0.945945945945946,0.959459459459459,0.959459459459459,0.959459459459459,0.959459459459459,0.972972972972973,0.986486486486486,0.986486486486486,5.0269403688795,17.8950020788174
ar,absolute,rolling window,ngdp_rpch,1.5,1.79080193395137,0.651593998601364,0.201628709124807,0.937579226225195,7.52080463629177,13.0372454987922,9.21982861805902,0.162162162162162,0.216216216216216,0.283783783783784,0.391891891891892,0.486486486486487,0.581081081081081,0.662162162162162,0.756756756756757,0.797297297297297,0.135135135135135,0.162162162162162,0.256756756756757,0.337837837837838,0.432432432432432,0.527027027027027,0.621621621621622,0.675675675675676,0.72972972972973,0.891891891891892,0.891891891891892,0.905405405405405,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.932432432432432,6.0590423595616,19.8825632293445
ar,absolute,rolling window,pcpi_pch,0,0.197793582973737,0.0575432522147342,0.101732289725078,0.0385180410339249,0.839393474164762,1.48434319499891,1.03409853254263,0.121621621621622,0.216216216216216,0.27027027027027,0.378378378378378,0.472972972972973,0.554054054054054,0.648648648648649,0.743243243243243,0.810810810810811,0.0675675675675676,0.135135135135135,0.22972972972973,0.256756756756757,0.310810810810811,0.378378378378378,0.418918918918919,0.432432432432432,0.486486486486487,0.608108108108108,0.648648648648649,0.689189189189189,0.756756756756757,0.783783783783784,0.810810810810811,0.878378378378378,0.878378378378378,0.878378378378378,0.668804036417005,2.3160619984075
ar,absolute,rolling window,pcpi_pch,0.5,0.459557976803995,0.142786649335207,0.227466578907454,0.0893047485613341,1.95846673428929,3.24288697350901,2.31904110202646,0.175675675675676,0.216216216216216,0.27027027027027,0.364864864864865,0.418918918918919,0.486486486486487,0.540540540540541,0.635135135135135,0.689189189189189,0.121621621621622,0.148648648648649,0.202702702702703,0.243243243243243,0.283783783783784,0.297297297297297,0.351351351351351,0.391891891891892,0.405405405405405,0.581081081081081,0.608108108108108,0.621621621621622,0.662162162162162,0.702702702702703,0.72972972972973,0.743243243243243,0.783783783783784,0.810810810810811,1.57810057799011,4.69771478738253
ar,absolute,rolling window,pcpi_pch,1,1.07080396966238,0.43042107294634,0.269819990226653,0.370562906489392,4.58146546057102,6.65272125381063,5.07992941779584,0.0945945945945946,0.162162162162162,0.22972972972973,0.283783783783784,0.378378378378378,0.513513513513514,0.567567567567568,0.675675675675676,0.743243243243243,0.175675675675676,0.216216216216216,0.310810810810811,0.351351351351351,0.45945945945946,0.554054054054054,0.581081081081081,0.635135135135135,0.702702702702703,0.797297297297297,0.797297297297297,0.810810810810811,0.837837837837838,0.837837837837838,0.864864864864865,0.878378378378378,0.891891891891892,0.918918918918919,3.91650257475249,9.01550836930044
ar,absolute,rolling window,pcpi_pch,1.5,1.39581880774212,0.709349618664666,0.245133722301379,0.441335466776074,5.95239438003307,7.9226012318298,6.34949895874113,0.121621621621622,0.189189189189189,0.297297297297297,0.337837837837838,0.432432432432432,0.540540540540541,0.608108108108108,0.662162162162162,0.810810810810811,0.0945945945945946,0.243243243243243,0.297297297297297,0.351351351351351,0.45945945945946,0.540540540540541,0.567567567567568,0.662162162162162,0.72972972972973,0.851351351351351,0.851351351351351,0.864864864864865,0.878378378378378,0.891891891891892,0.891891891891892,0.905405405405405,0.905405405405405,0.905405405405405,5.23399439881366,9.74671197446121
ar_bic,absolute,rolling window,ngdp_rpch,0,0.340369624148846,0.165990870689067,0.0141359141179731,0.160242839341806,1.46647038618943,2.39012812426881,1.68820639360026,0.22972972972973,0.324324324324324,0.351351351351351,0.486486486486487,0.581081081081081,0.689189189189189,0.756756756756757,0.837837837837838,0.878378378378378,0.121621621621622,0.148648648648649,0.202702702702703,0.27027027027027,0.364864864864865,0.432432432432432,0.540540540540541,0.567567567567568,0.621621621621622,0.851351351351351,0.891891891891892,0.891891891891892,0.918918918918919,0.945945945945946,0.959459459459459,0.959459459459459,0.986486486486486,1,1.19219541749072,3.20565175031715
ar_bic,absolute,rolling window,ngdp_rpch,0.5,0.750862477397616,0.242906893559245,0.0451750975845205,0.462780486253851,3.18562861515478,5.61674691723005,3.90989484817064,0.162162162162162,0.27027027027027,0.351351351351351,0.405405405405405,0.540540540540541,0.662162162162162,0.72972972972973,0.783783783783784,0.837837837837838,0.148648648648649,0.202702702702703,0.256756756756757,0.297297297297297,0.405405405405405,0.5,0.554054054054054,0.608108108108108,0.675675675675676,0.837837837837838,0.878378378378378,0.905405405405405,0.905405405405405,0.945945945945946,0.959459459459459,0.986486486486486,0.986486486486486,0.986486486486486,2.5057980050009,8.48211812321548
ar_bic,absolute,rolling window,ngdp_rpch,1,1.44606297520882,0.456119013864364,0.0801036270058562,0.909840334338595,6.10883387842381,11.1544143425413,7.68868194106607,0.175675675675676,0.243243243243243,0.351351351351351,0.45945945945946,0.527027027027027,0.621621621621622,0.743243243243243,0.837837837837838,0.851351351351351,0.135135135135135,0.135135135135135,0.216216216216216,0.337837837837838,0.432432432432432,0.486486486486487,0.594594594594595,0.675675675675676,0.72972972972973,0.905405405405405,0.918918918918919,0.945945945945946,0.945945945945946,0.959459459459459,0.959459459459459,0.959459459459459,0.972972972972973,0.986486486486486,4.77731511368669,17.8521574973594
ar_bic,absolute,rolling window,ngdp_rpch,1.5,1.78140826747199,0.575914102237476,0.285509198848056,0.919984966386457,7.53206693835906,13.4317915203174,9.34672205398517,0.162162162162162,0.202702702702703,0.310810810810811,0.351351351351351,0.472972972972973,0.567567567567568,0.675675675675676,0.756756756756757,0.824324324324324,0.108108108108108,0.162162162162162,0.243243243243243,0.337837837837838,0.432432432432432,0.540540540540541,0.581081081081081,0.689189189189189,0.72972972972973,0.891891891891892,0.891891891891892,0.891891891891892,0.891891891891892,0.905405405405405,0.905405405405405,0.918918918918919,0.918918918918919,0.932432432432432,5.9616393050681,21.0928859853352
ar_bic,absolute,rolling window,pcpi_pch,0,0.185418111433751,0.0553420345909398,0.10520003339579,0.0248760434470208,0.783204087402655,1.44906577416438,0.977819873597038,0.148648648648649,0.22972972972973,0.283783783783784,0.364864864864865,0.445945945945946,0.581081081081081,0.648648648648649,0.689189189189189,0.851351351351351,0.0405405405405405,0.121621621621622,0.121621621621622,0.162162162162162,0.243243243243243,0.297297297297297,0.351351351351351,0.364864864864865,0.432432432432432,0.581081081081081,0.594594594594595,0.635135135135135,0.662162162162162,0.689189189189189,0.743243243243243,0.77027027027027,0.810810810810811,0.891891891891892,0.617331302596202,2.19108314607402
ar_bic,absolute,rolling window,pcpi_pch,0.5,0.469526351948062,0.119235889875084,0.269523244149504,0.0807672179234746,2.02402001028067,3.39469594698416,2.40056927631214,0.162162162162162,0.202702702702703,0.256756756756757,0.364864864864865,0.391891891891892,0.432432432432432,0.5,0.594594594594595,0.702702702702703,0.0810810810810811,0.135135135135135,0.189189189189189,0.202702702702703,0.216216216216216,0.22972972972973,0.27027027027027,0.310810810810811,0.324324324324324,0.486486486486487,0.513513513513514,0.527027027027027,0.594594594594595,0.608108108108108,0.635135135135135,0.689189189189189,0.72972972972973,0.783783783783784,1.6023700712434,5.02883991362103
