model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar,FRA,ngdp_rpch,1,0.770994858032768,0.316079228806827,0,0.454915629225941,-0.0818181818181819,,,0.5,0.636363636363636
bvar,FRA,ngdp_rpch,1.5,0.92821289448127,0.355714403842881,0.00844336782582569,0.564055122812563,-0.127272727272727,,,0.409090909090909,0.636363636363636
bvar,FRA,pcpi_pch,0,0.0925225221868997,0.0354280781946043,0.0570944439922955,0,-0.215217391304348,,,0.347826086956522,0.521739130434783
bvar,FRA,pcpi_pch,0.5,0.266243298759735,0.218664345517666,0.0367775045941438,0.0108014486479252,0.154347826086957,,,0.652173913043478,0.956521739130435
bvar,FRA,pcpi_pch,1,0.562919059704817,0.553856588413745,0.00493598922350477,0.00412648206756666,0.304545454545455,,,0.909090909090909,1
bvar,FRA,pcpi_pch,1.5,0.847878764001903,0.777428904468804,0,0.070449859533099,0.259090909090909,,,0.818181818181818,1
bvar,GBR,ngdp_rpch,0,0.521398251137933,0.0406176797930595,0.118337881043393,0.362442690301481,-0.56304347826087,,,0.0869565217391304,0.0869565217391304
bvar,GBR,ngdp_rpch,0.5,0.528704033176963,0.17443847913379,0.024708276419797,0.329557277623376,-0.280434782608696,,,0.217391304347826,0.521739130434783
bvar,GBR,ngdp_rpch,1,0.773870876155307,0.332694566049901,0.0292980161792864,0.41187829392612,-0.0363636363636364,,,0.5,0.727272727272727
bvar,GBR,ngdp_rpch,1.5,1.03377103368909,0.374550019162561,0.0213331501175477,0.63788786440898,-0.0363636363636364,,,0.454545454545455,0.772727272727273
bvar,GBR,pcpi_pch,0,0.369838812923052,0.062756663532285,0.25916266205625,0.0479194873345167,-0.193478260869565,,,0.391304347826087,0.521739130434783
bvar,GBR,pcpi_pch,0.5,0.452089292240156,0.305883991602599,0.146205300637557,0,0.176086956521739,,,0.739130434782609,0.91304347826087
bvar,GBR,pcpi_pch,1,0.685779814625236,0.628943072870398,0.0193018560578682,0.0375348856969702,0.190909090909091,,,0.681818181818182,1
bvar,GBR,pcpi_pch,1.5,0.936185322723362,0.735419775550636,0,0.200765547172726,0.0545454545454545,,,0.409090909090909,1
bvar,ITA,ngdp_rpch,0,0.25572668944816,0.0435398530602079,0.0340098087288485,0.178177027659104,-0.302173913043478,,,0.217391304347826,0.478260869565217
bvar,ITA,ngdp_rpch,0.5,0.497983811136249,0.208814683962283,0.0131128670341476,0.276056260139819,-0.106521739130435,,,0.391304347826087,0.695652173913044
bvar,ITA,ngdp_rpch,1,0.879702789231073,0.397210521898738,0,0.482492267332335,-0.0590909090909091,,,0.454545454545455,0.727272727272727
bvar,ITA,ngdp_rpch,1.5,1.18801135991746,0.458082670307994,0,0.729928689609471,-0.127272727272727,,,0.5,0.545454545454545
bvar,ITA,pcpi_pch,0,0.0948409342005786,0.0265689147619958,0.0554059228290061,0.0128660966095767,-0.302173913043478,,,0.260869565217391,0.434782608695652
bvar,ITA,pcpi_pch,0.5,0.238310078572237,0.173078188991346,0.0154129851120066,0.0498189044688844,0.0673913043478261,,,0.565217391304348,0.869565217391304
bvar,ITA,pcpi_pch,1,0.490058378918798,0.404753971635959,0.0127358646334386,0.072568542649401,0.213636363636364,,,0.772727272727273,0.954545454545455
bvar,ITA,pcpi_pch,1.5,0.888518609188062,0.597351793667929,0.00374717908178205,0.28741963643835,0.00909090909090907,,,0.454545454545455,0.863636363636364
bvar,JPN,ngdp_rpch,0,0.529359272549485,0.0742897487998011,0.193939339971207,0.261130183778478,-0.432608695652174,,,0.173913043478261,0.260869565217391
bvar,JPN,ngdp_rpch,0.5,0.891160259615658,0.319475041286634,0.130799882685478,0.440885335643547,-0.193478260869565,,,0.391304347826087,0.521739130434783
bvar,JPN,ngdp_rpch,1,1.3819699026278,0.584357380124377,0,0.797612522503424,-0.172727272727273,,,0.363636363636364,0.590909090909091
bvar,JPN,ngdp_rpch,1.5,1.88071831976985,0.647949910274495,0.029086804674883,1.20368160482047,-0.195454545454545,,,0.409090909090909,0.5
bvar,JPN,pcpi_pch,0,0.0833131472959926,0.0629855706537734,0.00665926155950341,0.0136683150827158,0.176086956521739,,,0.695652173913044,0.956521739130435
bvar,JPN,pcpi_pch,0.5,0.352923684468191,0.311368137489078,0.0308844561971504,0.0106710907819632,0.176086956521739,,,0.695652173913044,0.956521739130435
bvar,JPN,pcpi_pch,1,0.798587907740795,0.607319003778808,0.000622688398919774,0.190646215563068,-0.0363636363636364,,,0.318181818181818,0.909090909090909
bvar,JPN,pcpi_pch,1.5,1.03408928907876,0.734944470809175,0,0.299144818269585,-0.0590909090909091,,,0.318181818181818,0.863636363636364
bvar,USA,ngdp_rpch,0,0.382155949499559,0.0524542329007052,0.0670597354310176,0.262641981167837,-0.476086956521739,,,0.130434782608696,0.217391304347826
bvar,USA,ngdp_rpch,0.5,0.410933596009575,0.237540193246281,0.0131583209392328,0.160235081824062,-0.041304347826087,,,0.434782608695652,0.782608695652174
bvar,USA,ngdp_rpch,1,0.827236232973162,0.433693155454725,0,0.393543077518437,0.0772727272727273,,,0.681818181818182,0.772727272727273
bvar,USA,ngdp_rpch,1.5,0.937757131118018,0.518349271134438,0,0.41940785998358,0.1,,,0.681818181818182,0.818181818181818
bvar,USA,pcpi_pch,0,0.0838362307105754,0.0380045572445278,0.00186558356060653,0.0439660899054411,0.0673913043478261,,,0.521739130434783,0.91304347826087
bvar,USA,pcpi_pch,0.5,0.260227051924037,0.229245990288671,0.00979842483577218,0.0211826367995939,0.219565217391304,,,0.782608695652174,0.956521739130435
bvar,USA,pcpi_pch,1,0.628064409263319,0.502327426104029,0,0.12573698315929,0.213636363636364,,,0.772727272727273,0.954545454545455
bvar,USA,pcpi_pch,1.5,0.792784042377675,0.684681817569169,0,0.108102224808506,0.190909090909091,,,0.772727272727273,0.909090909090909
