target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2022,ngdp_rpch,0,arx_annual,0.498576746461541,0.255170101481907,0.225101974972771,0.018304670006863,2.45736566768235,3.82812076002496,3.14274321385365,0.5,0.8,0,0.1,0.6,0.8
2023,ngdp_rpch,0,arx_annual,0.353317084715924,0.256059278674676,0.0850929597268405,0.012164846314407,1.77364898437019,2.632219233393,2.2029341088816,0.7,0.9,0,0.1,0.8,0.9
2013,ngdp_rpch,0.5,arx_annual,0.552113559252299,0.460064838547942,0.0062273247474565,0.0858213959569,2.69565132993323,4.30314286021291,3.49939709507307,0.6,0.9,0.1,0.2,0.8,1
2014,ngdp_rpch,0.5,arx_annual,0.576452190054384,0.455348781270474,0.0544819729295535,0.0666214358543565,2.98681334789653,4.06201043134635,3.52441188962144,0.6,0.9,0,0.3,0.9,0.9
2015,ngdp_rpch,0.5,arx_annual,0.773744555440885,0.450746124303565,0.007778041249129,0.31522038988819,3.69242616853205,6.24382568748757,4.96812592800981,0.6,0.9,0.1,0.3,0.9,1
2016,ngdp_rpch,0.5,arx_annual,0.523687611328105,0.449852386600639,0.011164089561565,0.062671135165901,2.63545087669823,3.88512503481652,3.26028795575737,0.7,1,0,0.2,0.9,1
2017,ngdp_rpch,0.5,arx_annual,0.482298036439629,0.443856043647927,0.034488953376411,0.0039530394152915,2.32504911011491,3.83333795350531,3.07919353181011,0.7,1,0,0.1,0.8,1
2018,ngdp_rpch,0.5,arx_annual,0.451255766936495,0.437675254763042,0,0.0135805121734525,2.09806296941472,3.7799579151931,2.93901044230391,0.8,1,0,0.2,1,1
2019,ngdp_rpch,0.5,arx_annual,0.640120599297305,0.431579411056762,0,0.208541188240542,3.0538364609691,5.16782083352335,4.11082864724622,0.7,0.9,0.1,0.3,1,1
2020,ngdp_rpch,0.5,arx_annual,2.28888219360946,0.429513989059325,0.660411430747447,1.19895677380269,10.163991064649,20.3676662105669,15.2658286376079,0.4,0.4,0.3,0.3,0.7,0.7
2021,ngdp_rpch,0.5,arx_annual,2.52447331533666,0.449172941914057,0.399261412447246,1.67603896097536,11.4205726839506,21.9380345968566,16.6793036404036,0.2,0.4,0.3,0.4,0.6,0.7
2022,ngdp_rpch,0.5,arx_annual,1.01988020247761,0.458441619643525,0.358575504198469,0.202863078635617,5.34312451347372,7.0397927658679,6.19145863967081,0.4,0.7,0.1,0.2,0.6,0.8
