target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2023,ngdp_rpch,1.5,rolling window,absolute,bvar_const,0.883082837873341,0.471695916854252,0,0.411386921019089,4.29676358798782,6.91974778749727,5.60825568774255,0.166666666666667,0.666666666666667,0.333333333333333,0.833333333333333,1,1
2013,pcpi_pch,0,rolling window,absolute,bvar_const,0.0740290212116744,0.0338701447173235,0,0.0401588764943509,0.376168464247567,0.540159263614572,0.458163863931069,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,1,1
2014,pcpi_pch,0,rolling window,absolute,bvar_const,0.0901159274853066,0.0359201664902495,0,0.0541957609950572,0.471869814780678,0.622644012754439,0.547256913767558,0.285714285714286,0.285714285714286,0.714285714285714,0.714285714285714,1,1
2015,pcpi_pch,0,rolling window,absolute,bvar_const,0.0767215792875457,0.0386055768836854,0,0.0381160024038603,0.411726200797262,0.505116083757758,0.45842114227751,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,1,1
2016,pcpi_pch,0,rolling window,absolute,bvar_const,0.059126842637257,0.04491283581039,0.00542476668805614,0.00878924013881092,0.324692462566492,0.370805696328909,0.347749079447701,0.571428571428571,0.857142857142857,0.142857142857143,0.285714285714286,0.857142857142857,1
2017,pcpi_pch,0,rolling window,absolute,bvar_const,0.0552293618341946,0.0446122546899861,0,0.0106171071442086,0.289191718161749,0.38160794127952,0.335399829720635,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,1,1
2018,pcpi_pch,0,rolling window,absolute,bvar_const,0.0771310900858233,0.0398913897892962,0,0.0372397002965271,0.408855409085414,0.520483279002931,0.464669344044173,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,1,1
2019,pcpi_pch,0,rolling window,absolute,bvar_const,0.0625529322677588,0.0426641220781681,0.000787713670444216,0.0191010965191465,0.336559207728404,0.409660626034166,0.373109916881285,0.142857142857143,0.714285714285714,0.285714285714286,0.714285714285714,0.857142857142857,1
2020,pcpi_pch,0,rolling window,absolute,bvar_const,0.181084974854721,0.0407654355898975,0,0.140319539264823,0.838643881507724,1.5250897933251,1.18186683741641,0.142857142857143,0.428571428571429,0.571428571428571,0.857142857142857,1,1
2021,pcpi_pch,0,rolling window,absolute,bvar_const,0.0662947573157288,0.0452481829951455,0.0210465743205833,0,0.323267946163527,0.51772528090576,0.420496613534643,0.833333333333333,0.833333333333333,0,0,0.833333333333333,0.833333333333333
2022,pcpi_pch,0,rolling window,absolute,bvar_const,0.140054041494994,0.045923465270538,0.0890168115194232,0.00511376470503248,0.697150579786344,1.05820438043401,0.877677480110178,0.333333333333333,0.5,0,0.166666666666667,0.5,0.5
2023,pcpi_pch,0,rolling window,absolute,bvar_const,0.0862842443702136,0.0503301944955169,0,0.0359540498746967,0.443400181008337,0.61718443488343,0.530292307945883,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,1
2013,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.200472308132218,0.140705654256992,0,0.0597666538752261,1.05265621368127,1.37780562844119,1.21523092106123,0.571428571428571,0.714285714285714,0.285714285714286,0.428571428571429,1,1
2014,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.323744162211849,0.145047272911009,0.122379363524541,0.0563175257762991,1.69997181009298,2.22495371900451,1.96246276454875,0.142857142857143,0.571428571428571,0.285714285714286,0.714285714285714,0.857142857142857,0.857142857142857
2015,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.243261817297692,0.152401527500416,0.0908602897972756,0,1.22264872984157,1.80861452134991,1.51563162559574,0.428571428571429,0.571428571428571,0,0,0.428571428571429,0.571428571428571
2016,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.278309909053639,0.155097605766228,0.123212303287411,0,1.39053047878146,2.08987198411912,1.74020123145029,0.571428571428571,0.714285714285714,0,0,0.571428571428571,0.714285714285714
2017,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.317458652589728,0.159035859936078,0,0.15842279265365,1.54015688587938,2.4987808370961,2.01946886148774,0.571428571428571,0.714285714285714,0.285714285714286,0.428571428571429,1,1
2018,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.243252097261596,0.172608537623279,0.045369726334105,0.0252738333042116,1.21608623376728,1.82482636081371,1.5204562972905,0.571428571428571,0.714285714285714,0.142857142857143,0.285714285714286,0.857142857142857,0.857142857142857
