country,target,target_year,imf_pp,horizon,true_value,error,quantile,prediction,error_prediction,source,error_method,method,holdout
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.7,0.560187156241711,0.360187156241689,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.75,0.58408860275629,0.384088602756268,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.8,0.703585660638151,0.503585660638129,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.85,1.00000000000142,0.800000000001399,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.9,1.62999999999992,1.4299999999999,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1,-0.0123258303382556,0.212325830338278,0.95,1.79603487285179,1.59603487285177,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.05,-1.49603487285174,-1.69603487285176,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.1,-1.23000000000028,-1.4300000000003,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.15,-0.788286393369964,-0.988286393369986,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.2,-0.618245549357701,-0.818245549357723,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.25,-0.600000000001267,-0.800000000001289,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.3,-0.58408860275629,-0.784088602756312,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.35,-0.40285314535491,-0.602853145354932,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.4,-0.297630360370077,-0.497630360370099,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.45,-0.128590343290625,-0.328590343290647,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.55,0.528590343290669,0.328590343290647,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.6,0.697630360370121,0.497630360370099,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.65,0.802853145354954,0.602853145354932,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.7,0.984088602756334,0.784088602756312,IMF,absolute,rolling window,_ho
CHE,pcpi_pch,2014,0.200000000000022,1.5,-0.0123258303382556,0.212325830338278,0.75,1.00000000000131,0.800000000001289,IMF,absolute,rolling window,_ho
